"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017128674","2","0","PA","7","PT94902     ","2099","2017","67","Philadelphia","67301"
"2017128048","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017128048","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017128057","1","0","  ","2","            ","    ","2017","67","Philadelphia","67301"
"2017128106","2","0","  ","2","            ","    ","2017","67","Philadelphia","67301"
"2017045428","5","0","ME","7","191942107   ","2017","2017","67","Philadelphia","67301"
"2017081483","2","0","NJ","7","TFA54G      ","2017","2017","67","Philadelphia","67301"
"2017081528","2","0","TN","7","U603552     ","2018","2017","67","Philadelphia","67301"
"2017014889","2","0","NJ","7","T725TJ      ","2017","2017","67","Philadelphia","67301"
"2018020700","3","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017070451","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017122812","2","0","PA","3","XHLY60      ","2017","2017","67","Philadelphia","67301"
"2017101886","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017101894","2","0","IN","7","5P1B3RTY    ","    ","2017","67","Philadelphia","67301"
"2017084948","1","0","PA","7","XJL4192     ","2017","2017","67","Philadelphia","67301"
"2017068038","2","0","ID","7","P23794      ","9999","2017","67","Philadelphia","67301"
"2017068112","1","0","NJ","7","TPG64V      ","2019","2017","67","Philadelphia","67301"
"2017117256","1","0","TN","7","U623762     ","9999","2017","67","Philadelphia","67301"
"2017112639","3","0","NJ","7","TBN44K      ","2017","2017","67","Philadelphia","67301"
"2017037054","2","0","PA","6","PT0750V     ","2015","2017","67","Philadelphia","67301"
"2017030217","1","0","PA","6","PT9405Z     ","2017","2017","67","Philadelphia","67301"
"2017030275","2","0","PA","7","1856922     ","2017","2017","67","Philadelphia","67301"
"2017012376","1","0","IL","7","T486562     ","2017","2017","67","Philadelphia","67301"
"2017012412","1","0","TN","7","U556256     ","2017","2017","67","Philadelphia","67301"
"2017050447","1","0","TN","7","U393458     ","2013","2017","67","Philadelphia","67301"
"2017050547","2","0","IA","7","DE5697      ","2017","2017","67","Philadelphia","67301"
"2017028843","2","0","OH","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017008748","1","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017060526","1","0","PA"," ","KBL30J      ","    ","2017","67","Philadelphia","67301"
"2017129107","1","0","PA","3","XT50687     ","2018","2017","67","Philadelphia","67301"
"2017129235","2","0","TN","7","U226956     ","2018","2017","67","Philadelphia","67301"
"2017052318","1","0","ZZ","2","999999999999","9999","2017","67","Philadelphia","67301"
"2017052381","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017133981","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017133983","2","0","PA","7","8T3M5Z      ","9999","2017","67","Philadelphia","67301"
"2018027553","2","0","  ","3","            ","    ","2017","67","Philadelphia","67301"
"2018027554","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017014071","2","0","PA","1","JSY2172     ","2011","2017","67","Philadelphia","67301"
"2018028852","2","0","ZZ","7","9999999999  ","9999","2017","67","Philadelphia","67301"
"2017104569","1","0","FL","1","DYB-V33     ","9999","2017","67","Philadelphia","67301"
"2017111580","1","0","  ","3","            ","    ","2017","67","Philadelphia","67301"
"2017045674","1","0","IN","7","P121371     ","2017","2017","67","Philadelphia","67301"
"2017028967","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017067845","2","0","PA","7","X6D279      ","9999","2017","67","Philadelphia","67301"
"2017067864","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017038893","2","0","OK","7","2308LT      ","2016","2017","67","Philadelphia","67301"
"2017027733","2","0","PA","7","PT9095Y     ","9999","2017","67","Philadelphia","67301"
"2017038006","2","0","PA","8","PA99019     ","2017","2017","67","Philadelphia","67301"
"2017038022","3","0","NJ","7","TJB78N      ","2019","2017","67","Philadelphia","67301"
"2017055503","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017055505","2","0","PA","3","XCN6316     ","2019","2017","67","Philadelphia","67301"
"2017120698","2","0","ZZ","7","999999999999","9999","2017","67","Philadelphia","67301"
"2017081090","4","0","IL","7","479424ST    ","2017","2017","67","Philadelphia","67301"
"2017081128","2","0","IN","7","P93297      ","2017","2017","67","Philadelphia","67301"
"2017110784","2","0","ME","7","1870274     ","2018","2017","67","Philadelphia","67301"
"2017041403","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017072042","2","0","  ","3","            ","    ","2017","67","Philadelphia","67301"
"2017127344","2","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017127404","1","0","ME","7","2M285B6     ","2022","2017","67","Philadelphia","67301"
"2017127428","1","0","PA","8","W03S        ","9999","2017","67","Philadelphia","67301"
"2017127429","1","0","  ","9","            ","    ","2017","67","Philadelphia","67301"
"2017075669","1","0","OK","7","2959KK      ","2017","2017","67","Philadelphia","67301"
"2017136273","2","0","IN","7","P333516     ","2040","2017","67","Philadelphia","67301"
"2017061706","1","0","ZZ","9","UNKNOWN     ","2017","2017","67","Philadelphia","67301"
"2017061710","2","0","TN","7","U738476     ","2017","2017","67","Philadelphia","67301"
"2017061728","1","0","IL","7","T496083     ","2017","2017","67","Philadelphia","67301"
"2017061747","3","0","IL","7","T234350     ","2018","2017","67","Philadelphia","67301"
"2017134784","2","0","IL","6","494842ST    ","2017","2017","67","Philadelphia","67301"
