"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017075291","2","1","1","0","99","00","01","0","59","M","0","0","N","DE","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","1","1","0","99","12","01","0","54","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","2","2","0","99","12","03","0","45","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","1","3","2","0","99","00","06","0","56","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127341","2","1","1","8","99","12","01","0","51","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127368","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017127368","2","1","1","4","99","00","01","0","50","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127375","1","1","1","0","00","00","01","0","31","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127375","2","1","7","2","00","00","00","0","58","M","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2017127382","1","1","1","0","00","00","01","0","85","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127382","2","1","1","8","99","99","01","1","59","M","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017127397","1","1","1","8","99","99","01","2","32","M","2","1","Y","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2017133959","1","1","1","0","00","00","01","0","99","U","0","0"," ","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2017133959","2","1","1","0","00","00","01","0","27","F","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017134002","1","99","1","0","03","01","01","0","20","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2017134002","2","99","1","0","03","00","01","0","42","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005533","1","1","1","0","99","99","01","0","21","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005533","1","2","2","4","99","99","03","0","17","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005533","2","2","2","4","99","99","03","0","20","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005533","2","11","1","0","99","99","01","0","29","F","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005543","1","1","1","0","03","12","01","0","27","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005543","2","99","1","0","03","12","01","0","32","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005550","1","1","1","4","99","99","01","0","43","F","0","0","Y","PA","9","  "," "," ","2017","67","Philadelphia","67301"
"2018005550","2","1","1","0","00","00","01","0","23","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005550","3","1","1","4","99","99","01","0","42","F","0","0","Y","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005550","4","1","1","0","00","00","01","0","29","M","0","0"," ","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005559","1","1","1","0","03","00","01","0","37","M","0","0","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
"2018005559","2","2","7","4","00","00","00","0","56","F","0","0","Y","  ","0","01","2","9","2017","67","Philadelphia","67301"
"2018025165","1","1","1","0","99","99","01","1","43","M","0","1","N","DE","0","  "," "," ","2017","67","Philadelphia","67301"
"2018025165","1","2","2","4","99","99","06","1","25","F","0","1","Y","DE","0","  "," "," ","2017","67","Philadelphia","67301"
"2018025165","2","1","1","0","99","99","01","1","99","U","0","1","N","  ","9","  "," "," ","2017","67","Philadelphia","67301"
"2018025165","3","1","1","0","99","99","01","1","30","M","0","1","N","PA","0","  "," "," ","2017","67","Philadelphia","67301"
