"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_NAME","MUNICIPALITY"
"67","2017","2017060636","2 ","282","E","3","2","3014","0020","25","SPRING GARDEN ST","Philadelphia","67301"
"67","2017","2017060655","01","","S","3","4","","","25","12TH ST","Philadelphia","67301"
"67","2017","2017060655","01","","E","4","4","","","25","POPLAR ST","Philadelphia","67301"
"67","2017","2017060661","02","1030","S","3","2","4001","0121","35","HENRY AV","Philadelphia","67301"
"67","2017","2017060733","2 ","1351","N","3","2","1007","0060","35","TACONY ST","Philadelphia","67301"
"67","2017","2017013183","01","","S","3","4","","","25","4TH ST","Philadelphia","67301"
"67","2017","2017013183","02","","E","4","4","","","25","TABOR RD","Philadelphia","67301"
"67","2017","2017025192","3 ","1880","S","3","1","0095","0171","55","DELAWARE EX","Philadelphia","67301"
"67","2017","2017088764","02","","N","4","4","","","20","17TH ST","Philadelphia","67301"
"67","2017","2017088764","02","","W","3","4","","","25","CAMBRIA ST","Philadelphia","67301"
"67","2017","2017088779","01","","S","3","4","","","25","N 6TH ST","Philadelphia","67301"
"67","2017","2017088800","02","","W","3","4","","","25","W ONTARIO ST","Philadelphia","67301"
"67","2017","2017071326","02","0","N","3","2","3009","0130","35","RIDGE AV","Philadelphia","67301"
"67","2017","2017071326","01","","E","4","4","","","25","GREEN LN","Philadelphia","67301"
"67","2017","2017083693","4 ","30","E","3","1","0076","3404","50","SCHUYLKILL EX","Philadelphia","67301"
"67","2017","2017088805","02","","N","3","4","","","25","WARNOCK ST","Philadelphia","67301"
"67","2017","2017088805","02","","W","4","4","","","20","VENANGO ST","Philadelphia","67301"
"67","2017","2017093516","02","","W","3","4","","","25","HAVERFORD AV","Philadelphia","67301"
"67","2017","2017093516","02","","N","4","4","","","25","33RD ST","Philadelphia","67301"
"67","2017","2017093544","02","","W","4","4","","","25","LINDBERGH BL","Philadelphia","67301"
"67","2017","2017093544","02","","S","3","4","","","25","70TH ST","Philadelphia","67301"
"67","2017","2017093575","2 ","1303","W","4","2","0073","0021","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017093575","02","","S","5","4","","","25","PENNWAY ST","Philadelphia","67301"
"67","2017","2017093575","2 ","1302","E","3","2","0073","0020","30","COTTMAN AV","Philadelphia","67301"
"67","2017","2017093611","01","","W","3","4","","","25","DYRE ST","Philadelphia","67301"
