"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_NAME","COUNTY","MUNICIPALITY"
"99","8","2","3740 E THOMPSON ST","","PHILA","PA","19137","DURHAM SCHOOL SERICES","9999999999","2017","2017013959","999999","","","","","N","","","","","","N","","","10","Philadelphia","67","67301"
"99","9","1","1050 SWEDESFORD RD","","BERWYN","PA","19312","PECO","9999999999","2017","2017013971","036220","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","8","2","734 SCHUYLKILL AVE","","PHILA","PA","19146","SCHOOL DIST OF PHILA","9999999999","2017","2017014001","999999","","","","","N","","","","","","N","","","10","Philadelphia","67","67301"
"99","1","2","6929 N LAKEWOOD AVENUE","","TULSA","OK","74117","EAN HOLDING","9999999999","2017","2017014058","999999","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","9","2","2210 W WESTMORELAND ST","","PHILADELPHIA","PA","19140","HOOKED INC","9999999999","2017","2017014071","016000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"99","1","1","971 BRIARSDALE RD","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL","9999999999","2017","2017014200","033000","","","","","N","","","","","","N","","","05","Philadelphia","67","67301"
"02","1","1","6345 JOLIET RD","","COUNTRYSIDE","IL","605250000","DEERLINE INC","6789344083","2017","2017014790","025500","","","","","N","","","","","","N","","","03","Philadelphia","67","67301"
"02","9","2","PO BOX 45","","RIVERTON","NJ","08077","ALTOS EXPRESS INC","8568296900","2017","2017014889","080000","","","","","N","","","","","","N","","00128799","08","Philadelphia","67","67301"
"04","4","1","1750 WALTON RD","","BLUE BELL","PA","19422","HIGHWAY MATERIALS ONC","6108328000","2017","2017015232","073280","","","","","N","","","","","","N","","02185972","04","Philadelphia","67","67301"
"05","1","1","941 S. 2ND STREET","","CAMDEN","NJ","08103","STATE METAL IND. INC.","8569641510","2017","2017017666","080000","","","","","N","","","","","","N","","00315572","08","Philadelphia","67","67301"
