"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2010093709","1","1","1","4","99","99","01","1","23","F","0","1","Y","FL","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093709","2","1","1","4","99","99","01","1","53","F","0","3","Y","NJ","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094149","2","6","2","9","99","99","99","0","99","F","0","0","N","NC","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094149","2","4","2","4","01","00","04","0","9","F","0","0","Y","NC","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094149","2","3","2","0","01","00","03","0","59","F","0","0","N","NC","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094149","2","1","1","0","01","00","01","0","63","F","0","0","N","NC","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094152","2","2","1","8","00","00","01","0","49","M","0","0","Y","","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094152","1","1","1","0","99","99","01","0","51","M","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094166","1","1","1","8","99","99","01","0","23","M","0","0","","PA","4","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094209","1","1","1","0","99","99","01","1","39","M","0","1","N","PA","2","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094232","1","2","2","0","99","99","03","0","49","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094232","1","1","1","0","99","99","01","0","16","F","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094232","2","1","7","8","00","00","00","0","24","F","0","0","","","0","99","2","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010094283","2","1","1","4","06","06","01","0","54","M","0","0","","","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094283","1","1","1","0","03","12","01","1","51","M","0","1","N","FL","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094299","2","1","1","0","99","99","01","0","55","M","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094299","1","1","1","3","01","00","01","0","34","M","0","0","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094301","1","1","1","0","99","04","01","1","33","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010095075","2","3","2","0","03","01","03","1","26","M","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010095075","2","2","1","0","03","01","01","1","25","M","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010095075","1","1","1","9","99","99","01","1","99","U","0","1","N","","9","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","1","1","1","0","03","00","01","1","20","M","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","2","6","2","8","00","00","15","1","2","F","0","1","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","2","5","2","0","00","00","15","1","18","F","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","2","4","2","8","00","00","15","1","1","M","0","1","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","2","3","2","0","00","00","15","1","19","F","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093464","2","2","1","0","03","00","01","1","34","F","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093695","1","1","1","0","99","99","01","0","41","F","0","0","N","PA","1","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093695","2","1","7","3","00","00","00","0","28","F","0","0","Y","","9","05","2","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010093710","1","1","1","0","99","99","01","0","34","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093710","2","3","2","4","99","99","04","9","15","M","9","9","Y","NY","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093710","2","2","2","0","99","99","03","9","44","F","9","9","N","NY","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093710","2","1","1","4","99","99","01","9","44","M","9","9","Y","NY","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094144","2","1","7","8","00","00","00","0","18","M","0","0","Y","","9","09","2","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010094144","1","1","1","4","00","04","01","1","25","M","0","1","Y","FL","9","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094144","3","1","7","4","00","00","00","0","20","M","0","0","N","","9","09","1","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010094173","1","1","1","0","99","00","01","0","79","F","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094173","2","1","1","4","99","99","01","0","16","M","0","0","Y","","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094303","2","2","2","0","99","99","03","0","50","F","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094303","2","1","1","0","99","99","01","0","56","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094303","1","2","2","8","99","99","03","0","16","F","0","0","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094303","1","1","1","0","99","99","01","0","17","F","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094307","1","1","1","0","99","99","01","1","70","M","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094307","2","2","7","8","00","00","00","0","8","F","0","0","Y","","0","05","2","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010093317","1","1","1","3","00","00","01","0","20","M","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093317","2","1","1","0","99","99","01","0","29","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093875","1","2","2","8","99","99","15","1","50","M","0","1","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093875","1","1","1","0","99","99","01","1","34","M","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093875","2","2","2","0","99","99","06","1","30","F","0","1","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010093875","2","1","1","0","99","99","01","1","32","M","0","1","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094122","1","1","1","4","05","05","01","0","33","M","0","0","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094122","2","1","1","0","99","00","01","0","30","M","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094201","1","1","1","0","03","00","01","0","50","M","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094201","2","1","1","2","05","00","01","0","22","F","0","0","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094221","1","1","1","0","99","12","01","0","42","F","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094221","2","1","1","4","01","12","01","1","24","F","0","0","Y","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094230","2","1","7","4","00","00","00","0","19","F","0","0","","","0","05","2","9","2010","67","PERSON_2010_Philadelphia","67301"
"2010094230","1","1","1","9","99","99","01","9","99","U","9","9","N","","9","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094236","1","1","1","4","00","00","01","0","11","F","0","0","Y","","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094236","2","1","1","0","99","99","01","0","69","M","0","0","","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
"2010094249","1","1","1","0","03","04","01","0","22","F","0","0","N","PA","0","","","","2010","67","PERSON_2010_Philadelphia","67301"
