"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2010037211","2","0","PA","7","PT2393F ","2099","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010037538","2","0","MI","7","C107222 ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010037963","1","0","OK","6","5588FA ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010037966","3","0","ME","7","1570847 ","2015","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010037967","1","0","OK","6","8470FE ","2005","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010037968","1","0","PA","6","PT3213P ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010038762","2","0","","7","","","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010039322","1","0","MN","6","I3I25I0 ","","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010040119","2","0","NJ","7","TGC38E ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010040380","1","0","NJ","7","TGP63C ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010040536","3","0","IL","7","8ZI9M9 ","","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010040548","3","0","","6","","","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010041293","2","0","PA","7","PT4822P ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010042419","1","0","PA","7","PT7829M ","2010","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010093734","2","0","PA","7","PT5796R ","","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010093747","3","0","TN","7","R851660 ","2006","2010","67","TRAILVEH_2010_Philadelphia","67301"
"2010094125","2","0","","6","","","2010","67","TRAILVEH_2010_Philadelphia","67301"
