"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"1","3","67","2010","2010126706","3 ","1709","W","3","1","0076","3471","50","SCHUYLKILL EX","ROADWAY_2010_Philadelphia","67301"
"1","4","67","2010","2010126706","1 ","550","W","4","2","8020","0250","25","RAMP RD","ROADWAY_2010_Philadelphia","67301"
"1","3","67","2010","2010127900","4 ","674","S","3","1","0095","0145","","DELAWARE EX","ROADWAY_2010_Philadelphia","67301"
"1","4","67","2010","2010127900","1 ","0","S","4","2","8005","0500","","RAMP RD","ROADWAY_2010_Philadelphia","67301"
"3","4","67","2010","2011022325","3 ","1871","S","4","2","2009","0101","30","HARBISON AV","ROADWAY_2010_Philadelphia","67301"
"3","3","67","2010","2011022325","3 ","1871","N","3","2","2009","0100","30","HARBISON AV","ROADWAY_2010_Philadelphia","67301"
"","5","67","2010","2011022325","02","","E","5","4","","","","VAN KIRK ST","ROADWAY_2010_Philadelphia","67301"
"","6","67","2010","2011022325","02","","N","6","4","","","","JACKSON ST","ROADWAY_2010_Philadelphia","67301"
"","4","67","2010","2011023357","02","","N","3","4","","","","BERKLEY ST","ROADWAY_2010_Philadelphia","67301"
"","3","67","2010","2011023357","02","","E","4","4","","","","PULASKI AV","ROADWAY_2010_Philadelphia","67301"
"","3","67","2010","2011023469","02","","U","3","4","","","","TWENTYSIXTH ST","ROADWAY_2010_Philadelphia","67301"
"1","3","67","2010","2011023775","1 ","96","W","3","2","8004","0250","","RAMP A RD","ROADWAY_2010_Philadelphia","67301"
"3","3","67","2010","2011024346","2 ","4299","W","3","2","0291","0061","40","PENROSE AV","ROADWAY_2010_Philadelphia","67301"
"","3","67","2010","2011024368","02","","U","3","4","","","25","GERMANTOWN AV","ROADWAY_2010_Philadelphia","67301"
"","4","67","2010","2011024380","02","","U","3","4","","","","WOODLAND AV","ROADWAY_2010_Philadelphia","67301"
"","3","67","2010","2011024380","02","","U","4","4","","","","71ST ST","ROADWAY_2010_Philadelphia","67301"
"","4","67","2010","2011024914","02","","E","3","4","","","","STEWART ST","ROADWAY_2010_Philadelphia","67301"
