"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","8","1","ROUTE 53","","PHILADELPHIA","PA","99999","SEPTA BUS 5675","9999999999","2004","2005010962","999999","","","","","N","","","","","","N","","","11","COMMVEH_2004_Philadelphia","67","67301"
"99","1","3","PO BOX 1424","","DELRAN","NJ","08075","EVERGREENEQUIP","9999999999","2004","2005024553","080000","","","","","N","","","","","999999999","N","","00562584","06","COMMVEH_2004_Philadelphia","67","67301"
"02","8","2","UNKNOWN","","PHILADELPHIA","PA","99999","SEPTA","9999999999","2004","2005024902","999999","","","","","N","","","","","","","","00000000","11","COMMVEH_2004_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILADELPHIA","PA","99999","SEPTA","9999999999","2004","2005025607","999999","","","","","N","","","","","","U","","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
"99","1","1","248 W MOWAY ST.","","CHESTER","PA","19103","KL CORPORATION","9999999999","2004","2005025612","","","","","","N","","","","","","N","","99999999","00","COMMVEH_2004_Philadelphia","67","67301"
"99","9","1","733 WILLOW GROVE AVE","","GLENSIDE","PA","19038","GREENSCAPE LANDSCAPE CONTRACTING","9999999999","2004","2005025621","999999","","","","","N","","","","","","N","","99999999","08","COMMVEH_2004_Philadelphia","67","67301"
"99","9","1","671 SOUDER ROAD","","SOUDERTON","PA","99999","LANDIS LEASING","999999999","2004","2005026183","","","","","","","","","","","999999999","","","","99","COMMVEH_2004_Philadelphia","67","67301"
"05","1","1","2740 N MAY FAIR","P030X4208","SPRINGFIELD","MO","65808","NEW PRIME INC","9999999999","2004","2005026960","080000","1","8","6","6","Y","1","1","1","1","999999999","N","","00003706","08","COMMVEH_2004_Philadelphia","67","67301"
"99","8","1","UNKNOWN","","UNKNOWN","ZZ","99999","SEPTA","9999999999","2004","2005053277","999999","","","","","N","","","","","","","","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
"99","1","1","40 FAIRVIEW AVE","","PAWTUCKET","ZZ","99999","UNKNOWN","9999999999","2004","2005053284","999999","","","","","N","","","","","999999999","","","99999999","99","COMMVEH_2004_Philadelphia","67","67301"
"99","1","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2004","2005053284","999999","","","","","N","","","","","999999999","","","99999999","99","COMMVEH_2004_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2004","2005013967","","","","","","N","","","","","","N","","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2004","2005016035","999999","","","","","N","","","","","999999999","N","","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
"02","8","2","1234 MARKET ST","14 TH FLOOR","PHILADELPHIA","PA","19107","SEPTA","2155804829","2004","2005016037","040600","","","","","N","","","","","999999999","N","A-00095970","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
"99","1","1","1240 N. SHERMAN ST","","ALLENTOWN","PA","18103","EATMORE FRUIT CO. INC.","9999999999","2004","2005016042","033000","","","","","N","","","","","999999999","N","","99999999","05","COMMVEH_2004_Philadelphia","67","67301"
"05","1","2","853 NOTTINGHAM WAY","PO BOX 5626","TRENTON","NJ","08638","MERCER WRECKING RECYCLING CORP","6096318230","2004","2005016043","080000","","","","","N","","","","","999999999","N","","00360774","08","COMMVEH_2004_Philadelphia","67","67301"
"99","1","1","2029 NORRIS AVE","","ATCO","NJ","08004","RAIO TRUCKING LLC","9999999999","2004","2005016044","999999","","","","","N","","","","","999999999","N","","09999999","05","COMMVEH_2004_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155806414","2004","2004012493","","","","","","N","","","","","999999999","","","99999999","11","COMMVEH_2004_Philadelphia","67","67301"
