"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"1999104098","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104120","1","U","U","U","U","9","U","U","U","U","00000","","","","","","","","N","U","","","","","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104476","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104478","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104479","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104482","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104494","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104500","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104501","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104507","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104511","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
"1999104551","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","1999","67","CYCLE_1999_Philadelphia","67301"
