"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"3","3","67","2015","2016013932","2 ","2489","E","3","2","0073","0010","30","COTTMAN AV","ROADWAY_2015_Philadelphia","67301"
"3","3","67","2015","2016013945","3 ","0","N","3","2","6001","0220","40","ROOSEVELT BL","ROADWAY_2015_Philadelphia","67301"
"","4","67","2015","2016013945","02","","W","4","4","","","","PRATT ST","ROADWAY_2015_Philadelphia","67301"
"3","5","67","2015","2016013996","2 ","1100","E","5","2","0030","0070","50","GIRARD AV","ROADWAY_2015_Philadelphia","67301"
"3","4","67","2015","2016013996","2 ","0","W","4","2","0013","0091","25","GIRARD AV","ROADWAY_2015_Philadelphia","67301"
"","7","67","2015","2016013996","04","","S","7","4","","","35","THIRTYFOURTH ST","ROADWAY_2015_Philadelphia","67301"
"3","3","67","2015","2016013996","2 ","0","E","3","2","0013","0090","25","GIRARD AV","ROADWAY_2015_Philadelphia","67301"
"","8","67","2015","2016013996","04","","N","8","4","","","35","LANSDOWNE DR","ROADWAY_2015_Philadelphia","67301"
"3","6","67","2015","2016013996","2 ","1106","W","6","2","0030","0071","50","GIRARD AV","ROADWAY_2015_Philadelphia","67301"
"","3","67","2015","2016015177","02","","S","3","4","","","25","BYBERRY RD","ROADWAY_2015_Philadelphia","67301"
"","3","67","2015","2016016995","02","","S","3","3","","","","E SERVICE DR","ROADWAY_2015_Philadelphia","67301"
"","4","67","2015","2016016995","02","","E","4","4","","","","HEALTH SCIENCE DR","ROADWAY_2015_Philadelphia","67301"
"","5","67","2015","2015070634","02","","E","5","4","","","25","LONEY ST","ROADWAY_2015_Philadelphia","67301"
"3","4","67","2015","2015070634","2 ","1698","S","4","2","1005","0161","30","CASTOR AV","ROADWAY_2015_Philadelphia","67301"
"3","3","67","2015","2015070634","2 ","1698","N","3","2","1005","0160","30","CASTOR AV","ROADWAY_2015_Philadelphia","67301"
"","3","67","2015","2015070661","02","","S","4","4","","","25","15TH ST","ROADWAY_2015_Philadelphia","67301"
"","4","67","2015","2015070661","02","","W","3","4","","","25","MOORE ST","ROADWAY_2015_Philadelphia","67301"
"","3","67","2015","2015070671","02","","E","4","4","","","25","CLEARFIELD ST","ROADWAY_2015_Philadelphia","67301"
"","4","67","2015","2015070671","01","","S","3","4","","","25","RUTH ST","ROADWAY_2015_Philadelphia","67301"
"","3","67","2015","2015070678","02","","S","3","7","","","25","COLUMBUS COMMONS LT","ROADWAY_2015_Philadelphia","67301"
"1","3","67","2015","2015071484","2 ","4086","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2015_Philadelphia","67301"
"3","4","67","2015","2015077040","02","2097","N","4","2","1009","0070","25","BUSTLETON AV","ROADWAY_2015_Philadelphia","67301"
"3","5","67","2015","2015077040","02","2089","S","5","2","1009","0071","25","BUSTLETON AV","ROADWAY_2015_Philadelphia","67301"
"3","3","67","2015","2015077040","3 ","1039","S","3","2","0001","0241","40","ROOSEVELT BL","ROADWAY_2015_Philadelphia","67301"
