"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2015065455","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015065460","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015065460","3","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015065470","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015065787","1","N","N","U","N","0","N","N","Y","N","01000","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066163","1","","","","","","","","","","","","","","","","","","","","Y","Y","N","Y","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066167","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066182","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066191","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066193","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066198","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066201","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066222","2","U","U","Y","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066253","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066269","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066286","1","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066293","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066298","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066302","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066309","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066311","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066314","2","Y","U","Y","N","1","U","U","Y","Y","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066318","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066320","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066330","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066340","1","","","","","","","","","","","","","","","","","","","","N","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066342","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015066343","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015067413","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2015","67","CYCLE_2015_Philadelphia","67301"
"2015067417","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015067925","2","Y","N","Y","Y","1","Y","Y","U","Y","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015067943","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015068048","2","Y","Y","U","Y","3","N","U","Y","N","01200","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015087520","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015087911","2","","","","","","","","","","","","","","","","","","","","N","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015088343","2","U","N","U","U","0","N","N","N","N","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015088660","1","U","U","Y","Y","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
"2015088661","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015088662","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2015","67","CYCLE_2015_Philadelphia","67301"
"2015088670","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2015","67","CYCLE_2015_Philadelphia","67301"
