"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2015051944","1","1","1","4","00","00","01","0","32","M","0","0","N","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051972","1","1","1","3","99","99","01","0","62","M","0","0","Y","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051926","1","1","1","4","99","04","01","0","26","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051926","2","3","2","4","99","04","03","0","63","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051926","2","2","1","4","99","04","01","0","64","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051930","2","1","1","0","99","00","01","1","44","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051930","1","1","1","0","99","01","01","1","23","F","0","1","N","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051942","2","1","1","2","99","04","01","1","24","M","0","9","Y","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051942","1","1","1","1","00","04","01","2","31","M","9","1","Y","PA","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074972","2","2","1","4","03","12","01","1","19","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074972","1","1","1","0","03","12","01","1","31","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015021956","1","1","1","8","99","99","01","0","32","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015021974","1","1","1","0","99","99","01","1","53","U","0","1","","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015021974","2","11","7","4","00","00","00","0","10","M","0","0","Y","","0","01","2","9","2015","67","PERSON_2015_Philadelphia","67301"
"2015074975","1","1","1","0","03","12","01","1","38","M","0","1","N","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074975","2","2","1","0","03","12","01","1","25","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074978","1","1","1","0","03","01","01","1","33","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074957","1","1","1","4","03","01","01","1","53","M","0","1","N","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074968","1","1","1","0","03","10","01","1","31","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074977","2","2","1","0","03","12","01","1","43","M","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074977","1","1","1","0","03","12","01","1","24","M","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051980","1","1","1","4","03","00","01","0","25","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051980","2","1","1","4","03","00","01","0","23","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","2","3","1","4","03","12","01","1","43","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","1","2","2","0","03","12","03","1","60","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","1","1","1","0","03","12","01","1","67","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","3","7","2","0","03","12","06","1","10","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","3","6","2","0","03","12","04","1","6","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","3","5","2","0","03","12","03","1","36","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052374","3","4","1","0","03","12","01","1","40","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","1","1","1","0","03","01","01","1","44","F","0","1","N","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","4","7","2","0","03","12","03","1","26","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","4","6","1","0","03","12","01","1","31","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","3","5","2","0","03","12","03","1","63","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","3","4","1","0","03","12","01","1","68","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","2","3","2","0","03","12","03","1","19","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074997","2","2","1","0","03","12","01","1","19","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006108","1","1","1","0","01","01","01","0","47","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006108","2","1","1","0","01","01","01","0","68","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006128","1","1","1","0","99","99","01","0","61","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006128","2","1","7","8","00","00","00","0","15","F","0","0","Y","","0","01","2","9","2015","67","PERSON_2015_Philadelphia","67301"
"2015006140","1","1","1","8","03","01","01","1","17","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006118","1","2","2","4","99","00","06","0","61","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006118","1","1","1","0","99","00","01","0","58","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006248","2","2","1","4","03","12","01","0","29","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015006248","1","1","1","0","03","12","01","1","45","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007031","1","2","2","0","01","00","03","0","53","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007031","1","1","1","4","01","00","01","0","20","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007031","2","1","1","4","01","00","01","0","25","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007135","1","2","2","0","03","12","03","1","35","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015007135","1","1","1","0","03","12","01","1","36","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003434","2","4","2","0","04","00","06","0","1","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003434","2","3","2","0","03","00","03","0","19","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003434","2","2","1","0","03","00","01","0","40","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003434","1","1","1","0","03","00","01","0","60","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074963","1","5","2","0","03","12","03","1","55","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074963","1","1","1","0","03","12","01","1","22","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074963","4","4","1","0","03","12","01","1","47","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074963","2","2","1","0","03","12","01","1","66","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074963","3","3","1","0","03","12","01","1","37","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015074971","1","1","1","0","03","03","01","1","16","F","0","1","N","DE","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051927","2","3","2","0","99","99","09","1","6","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051927","2","2","2","0","99","99","99","1","7","M","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051927","2","1","1","0","99","12","01","1","28","F","0","1","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051927","1","1","1","3","05","00","01","0","59","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051971","2","97","2","4","03","01","03","1","70","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051971","2","1","1","4","03","01","01","1","46","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051971","1","2","2","0","03","01","03","1","99","F","0","1","","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051971","1","1","1","0","03","01","01","1","40","F","0","1","N","PA","1","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","1","3","2","8","04","00","06","1","2","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","1","2","2","4","01","01","03","1","4","M","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","1","1","1","4","01","01","01","1","35","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","2","2","2","4","01","01","03","1","11","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","2","1","1","4","01","01","01","1","37","F","0","1","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051986","3","1","1","0","99","99","01","1","18","F","0","1","","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051993","2","1","1","0","99","00","01","0","27","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051993","1","2","2","3","99","01","03","0","25","F","0","0","Y","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051993","1","1","1","0","99","01","01","0","22","F","0","0","N","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052293","1","1","1","0","99","99","01","0","99","U","0","0","","","9","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052293","2","1","1","9","99","99","01","1","60","M","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052375","2","2","1","4","03","00","01","1","58","F","0","1","N","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015052375","1","1","1","0","03","00","01","1","42","M","0","1","N","NJ","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015003430","1","1","1","4","99","12","01","0","38","M","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051937","1","1","1","8","03","10","01","0","26","F","0","0","Y","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
"2015051937","2","2","2","0","03","10","03","0","99","F","0","0","N","PA","0","","","","2015","67","PERSON_2015_Philadelphia","67301"
