"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2007081591","1","","","","","","","","","","","","","","","","","","","","U","N","Y","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081594","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081602","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081637","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081642","2","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081647","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081657","2","U","U","U","Y","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081669","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081682","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081684","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081685","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081694","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081709","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081739","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081744","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081771","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081840","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081848","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007081872","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082199","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082200","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082203","1","N","U","N","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082222","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082226","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082251","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082396","1","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082408","1","N","U","N","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082457","2","U","U","U","N","0","N","N","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082473","2","","","","","","","","","","","","","","","","","","","","U","N","U","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082483","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082484","1","U","U","U","N","0","N","N","U","U","00400","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082496","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082496","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082496","3","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082497","1","U","U","U","Y","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082500","1","Y","U","Y","U","1","Y","Y","U","U","00800","N","Y","0","N","N","N","N","Y","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082503","1","N","N","U","U","0","","","Y","Y","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082507","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082515","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007082519","3","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007060621","1","U","Y","Y","Y","1","Y","Y","Y","Y","00600","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007060920","1","N","N","N","N","0","","","N","N","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067402","1","N","N","N","Y","3","Y","Y","Y","Y","00750","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067405","1","Y","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067448","1","N","N","N","N","0","","","U","U","00100","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067450","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067491","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067599","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067649","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067652","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067654","2","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067661","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067663","1","Y","Y","U","N","0","","","Y","Y","99999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067668","2","U","U","U","N","0","N","N","U","U","99999","U","N","0","N","N","U","U","Y","U","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067720","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067843","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007067861","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2007","67","CYCLE_2007_Philadelphia","67301"
"2007045175","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007045681","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007045682","2","U","U","U","Y","1","U","U","U","U","00999","","","","","","","","N","N","","","","","2007","67","CYCLE_2007_Philadelphia","67301"
"2007045741","2","","","","","","","","","","","","","","","","","","","","N","N","Y","Y","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046047","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
"2007046309","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2007","67","CYCLE_2007_Philadelphia","67301"
