"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"3","3","67","2007","2007116168","03","3447","N","3","2","0001","0280","45","ROOSEVELT BL","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116216","02","","N","4","4","","","25","50TH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116216","2 ","2179","W","3","2","0003","0051","35","WALNUT ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116246","01","","E","4","4","","","25","POPLAR ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116246","02","451","S","3","2","0611","0041","30","BROAD ST","ROADWAY_2007_Philadelphia","67301"
"3","5","67","2007","2007116257","01","901","E","6","2","1011","0050","35","WELSH RD","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116257","02","0","E","4","2","0532","0010","35","WELSH RD","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007116257","02","2422","N","5","2","0532","0090","35","BUSTLETON AV","ROADWAY_2007_Philadelphia","67301"
"3","6","67","2007","2007116257","03","0","N","3","2","6001","0310","45","ROOSEVELT BL","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116273","99","","W","4","4","","","","WAKELING ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116273","02","0","N","3","2","1004","0110","25","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116395","02","1149","N","3","2","4005","0050","25","GERMANTOWN AV","ROADWAY_2007_Philadelphia","67301"
"1","5","67","2007","2007117214","01","835","N","4","2","8004","0510","","RAMP C RD","ROADWAY_2007_Philadelphia","67301"
"1","4","67","2007","2007117214","01","2100","N","5","2","8004","0010","","RAMP B RD","ROADWAY_2007_Philadelphia","67301"
"1","3","67","2007","2007117214","01","0","N","3","2","0001","0090","50","ROOSEVELT BOULEVARD EX","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117223","99","","S","3","4","","","","BETSY ROSS BR","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117253","99","","N","3","4","","","","FRONT ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117295","02","","E","3","4","","","","WOODLAND AL","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116113","01","","E","4","4","","","25","PRATT ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116113","02","","N","3","4","","","25","THOMPSON ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116227","99","","N","4","4","","","","SIXTYFOURTH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116227","02","1846","N","3","2","0001","0020","35","CITY AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116619","02","1153","W","3","2","0013","0050","25","BALTIMORE AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116661","02","1445","S","3","2","1004","0210","30","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117215","01","","N","4","4","","","","RAMP FROM ARAMINGO AV","ROADWAY_2007_Philadelphia","67301"
"1","3","67","2007","2007117215","03","3196","N","3","1","0095","0230","55","DELAWARE EX","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117229","01","","N","4","4","","","25","7TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117229","02","","W","3","4","","","25","67TH AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117296","99","","N","3","4","","","","S 60TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117303","02","","N","4","4","","","","SEVENTIETH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117303","02","2243","W","3","2","3021","0010","25","ELMWOOD AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007118026","02","1770","E","3","2","1018","0030","35","GRANT AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116158","99","","E","3","4","","","","MONTGOMERY DR","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116196","02","36","N","3","2","0001","0070","35","CITY AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116225","03","3280","N","3","2","6001","0330","45","ROOSEVELT BL","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116249","02","","W","3","4","","","25","WENTWORTH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116255","02","","N","4","4","","","35","16TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116255","01","","N","3","4","","","35","FISHERS LN","ROADWAY_2007_Philadelphia","67301"
"3","5","67","2007","2007116617","02","1890","S","4","2","0013","0061","25","THIRTYEIGHTH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116617","03","0","W","5","2","0003","0081","35","WALNUT ST","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007116617","02","1872","N","3","2","0013","0060","25","THIRTYEIGHTH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116657","02","","S","4","4","","","25","15TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116657","02","","W","3","4","","","25","CALLOWHILL ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116915","99","","N","3","4","","","","15TH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117208","01","","S","4","4","","","35","8TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117208","02","","N","3","4","","","35","RISING SUN AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117226","02","","N","4","4","","","","10TH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117226","2 ","474","E","3","2","4002","0120","30","GODFREY AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117231","02","","N","4","4","","","","FIFTYSEVENTH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117231","02","551","W","3","2","3010","0021","","MARKET ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117241","02","1601","N","3","2","3019","0060","35","PASSYUNK AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117262","99","","E","4","4","","","","KENSINGTON AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117262","02","1448","N","3","2","2007","0110","","FRANKFORD AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117297","01","","S","3","4","","","25","CRISPIN ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007114027","03","2648","N","3","2","6001","0290","40","ROOSEVELT BL","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007114044","02","","W","4","4","","","","GREEN ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007114044","02","547","S","3","2","3009","0020","35","RIDGE AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116159","99","","W","4","4","","","","HELLERMAN ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116159","02","591","S","3","2","0013","0221","30","FRANKFORD AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116233","02","","S","4","4","","","35","47TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116233","01","","W","3","4","","","35","SANSOM ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116266","99","","N","4","4","","","","66TH ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116266","99","","W","3","4","","","","MEDIA ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116914","01","","W","4","4","","","25","SANSOM ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116914","02","","S","3","4","","","25","47TH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117270","99","","W","3","4","","","","GLENWOOD AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117282","02","527","N","3","2","4013","0060","35","LINCOLN DR","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117289","02","","E","4","4","","","","SPRUCE ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007117289","02","2524","N","3","2","3017","0020","25","FIFTYSECOND ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007118025","02","","N","4","4","","","","MERION AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007118025","02","410","E","3","2","0030","0050","30","GIRARD AV","ROADWAY_2007_Philadelphia","67301"
"1","3","67","2007","2007118065","02","2530","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007118269","01","","N","4","4","","","","43RD ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007118269","99","","N","3","4","","","","LUDLOW ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007114973","02","847","S","3","2","0001","0051","35","CITY AV","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007116162","02","1818","E","3","2","1004","0220","30","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"","8","67","2007","2007116162","01","","W","8","4","","","35","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"","5","67","2007","2007116162","01","1807","W","6","2","1004","0221","35","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"3","7","67","2007","2007116162","02","1312","E","7","2","1016","0070","30","LINDEN AV","ROADWAY_2007_Philadelphia","67301"
"","6","67","2007","2007116162","01","1818","W","5","2","1004","0221","35","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116162","02","1807","E","4","2","1004","0220","30","TORRESDALE AV","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116197","02","2127","N","3","2","0532","0070","35","BUSTLETON AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116215","02","","S","3","4","","","25","EDMUND ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116215","01","","E","4","4","","","25","MERIDIAN ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116658","02","448","E","3","2","0003","0110","35","CHESTNUT ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116658","02","","S","4","4","","","25","FIFTEENTH ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116919","02","1559","N","3","2","2009","0020","35","ARAMINGO AV","ROADWAY_2007_Philadelphia","67301"
"3","5","67","2007","2007116919","02","0","E","5","2","2014","0100","25","LEHIGH AV","ROADWAY_2007_Philadelphia","67301"
"3","4","67","2007","2007116919","02","1570","S","4","2","2009","0021","35","ARAMINGO AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117252","02","","N","3","4","","","","FRONT ST","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007117299","99","","N","3","4","","","","58TH ST","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007117299","99","","E","4","4","","","","SPRUCE ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007114303","03","108","N","3","2","3019","0070","35","PASSYUNK AV","ROADWAY_2007_Philadelphia","67301"
"","3","67","2007","2007116140","01","","N","3","4","","","30","VARE AV","ROADWAY_2007_Philadelphia","67301"
"","4","67","2007","2007116167","01","","E","4","4","","","25","CRAIG ST","ROADWAY_2007_Philadelphia","67301"
"3","3","67","2007","2007116167","02","2259","E","3","2","1014","0070","35","RHAWN ST","ROADWAY_2007_Philadelphia","67301"
