X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,aadb,program,bikepedgroup,bikepedfacility,co_name,mun_name,id
-75.021279,40.002861,136880,jh,Cyclical Count Program  Year 2,2017/07/13 00:00:00+00,2017,3400555800,607,cinnaminson ave southbound lanes,south,spring garden st,broad st,Bicycle 2,40.002861,-75.021279,,1.02,N,S,29,Cyclical,Recreation,Striped Shoulder,Burlington,Palmyra Borough,100896
-74.806525,39.863783,136881,jh & ad,Cyclical Count Program  Year 2,2017/07/28 00:00:00+00,2017,3400545210,541,stokes rd northbound lanes,north,trading post way,cr 532 tabernacle rd,Bicycle 2,39.863783,-74.806525,,1.02,S,N,17,Cyclical,Recreation,Striped Shoulder,Burlington,Medford Lakes Borough,100897
-74.806603,39.863789,136882,jh & ad,Cyclical Count Program  Year 2,2017/07/28 00:00:00+00,2017,3400545210,541,stokes rd southbound lanes,south,trading post way,cr 532 tabernacle rd,Bicycle 2,39.863789,-74.806603,,1.02,N,S,30,Cyclical,Recreation,Striped Shoulder,Burlington,Medford Lakes Borough,100898
-74.894681,39.807643,136883,jh,Cyclical Count Program  Year 2,2017/08/02 00:00:00+00,2017,3400522110,,kettle run rd northbound lanes,north,brookfield ave,pine terrace,Bicycle 2,39.807643,-74.894681,,1.02,S,N,6,Cyclical,Low Volume,Mixed Traffic,Burlington,Evesham Township,100899
-74.895486,39.901691,136885,jh,Cyclical Count Program  Year 2,2017/07/26 00:00:00+00,2017,3400522110,618,evesboro medford rd eastbound lanes,east,merion rd,greenbrook dr,Bicycle 2,39.901691,-74.895486,,1.02,W,E,13,Cyclical,Mixed,Bike Lane,Burlington,Evesham Township,100900
-74.895438,39.901778,136886,jh,Cyclical Count Program  Year 2,2017/07/26 00:00:00+00,2017,3400522110,618,evesboro medford rd westbound lanes,west,merion rd,greenbrook dr,Bicycle 2,39.901778,-74.895438,,1.02,E,W,14,Cyclical,Mixed,Bike Lane,Burlington,Evesham Township,100901
-74.915222,39.889877,136888,jh,Cyclical Count Program  Year 2,2017/07/26 00:00:00+00,2017,3400522110,620,e main st westbound lanes,west,evesham ave,plymouth dr,Bicycle 2,39.889877,-74.915222,,1.02,E,W,9,Cyclical,Low Volume,Striped Shoulder,Burlington,Evesham Township,100902
-74.715121,40.070766,136889,jh,Cyclical Count Program  Year 2,2017/07/06 00:00:00+00,2017,3400543290,,kinkora trail,both,mansfield twp park,mansfield twp park,Bicycle 2,40.070766,-74.715121,,1.02,W,E,54,Cyclical,Recreation,Multiuse Trail,Burlington,Mansfield Township,100903
-74.947557,39.963446,136890,jh,Cyclical Count Program  Year 2,2017/07/18 00:00:00+00,2017,3400547880,537,e main st eastbound lanes,east,cr 607 church st,high st,Bicycle 2,39.963446,-74.947557,,1.02,W,E,36,Cyclical,Mixed,Mixed Traffic,Burlington,Moorestown Township,100904
-74.947557,39.963446,136891,jh,Cyclical Count Program  Year 2,2017/07/18 00:00:00+00,2017,3400547880,537,e main st westbound lanes,west,cr 607 church st,high st,Bicycle 2,39.963446,-74.947557,,1.02,E,W,27,Cyclical,Mixed,Mixed Traffic,Burlington,Moorestown Township,100905
-75.176659,39.962053,128721,jh,,2016/04/19 00:00:00+00,2016,4210160103,,ben franklin pkwy outer la southbound,south,22nd st,eakins oval,Bicycle 2,39.962053,-75.176659,1.012,1.02,N,S,228,Screen Line,Mixed,Bike Lane,Philadelphia,Central,100906
-75.189323,39.948714,136666,jh,,2017/06/12 00:00:00+00,2017,4210160110,,south st westbound lanes,west,convention ave,I 76 schuylkill expwy ramps,Bicycle 2,39.948714,-75.189323,,1.02,E,W,1121,Project,Mixed,Bike Lane,Philadelphia,University - Southwest,100990
-75.18412098,39.94595559,136634,jh,,2017/06/22 00:00:00+00,2017,4210160103,,south st eastbound lanes,east,27th st,26th st,Bicycle 2,39.94595559,-75.18412098,,1.02,W,E,793,Project,Mixed,Buffered Bike Lane,Philadelphia,Central,101015
-75.179218,39.945353,136636,jh,,2017/06/22 00:00:00+00,2017,4210160103,,south st eastbound lanes,east,23rd st,22nd st,Bicycle 2,39.945353,-75.179218,,1.02,E,W,703,Project,Mixed,Buffered Bike Lane,Philadelphia,Central,101016
-75.183515,39.954267,136626,jh,Contra-Flow Bike Lane,2017/06/09 00:00:00+00,2017,4210160110,,30th st northbound lanes,north,chestnut st,pa 3 market st,Bicycle 2,39.954267,-75.183515,,1.02,S,N,101,Project,Mixed,Buffered Bike Lane,Philadelphia,University - Southwest,101017
-74.752682,40.220609,88149,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2012/04/26 00:00:00+00,2012,3402174000,,raoul wallenberg blvd southbound lanes,south,yard ave,cr 635 e state st,Bicycle 1,40.220609,-74.752682,0.962,1.1797,,,11,Project,Low Volume,Mixed Traffic,Mercer,Trenton City,101100
-75.194761,39.947395,136671,jh,,2017/06/05 00:00:00+00,2017,4210160110,,civic center blvd southbound lanes,south,w service dr,convention ave,Bicycle 2,39.947395,-75.194761,,1.02,N,S,60,Project,Mixed,Bike Lane,Philadelphia,University - Southwest,101125
-75.19226473,39.9675115200001,136676,jh,,2017/06/15 00:00:00+00,2017,4210160111,,34th st northbound lanes,north,zoological dr,mantua ave,Bicycle 2,39.96751152,-75.19226473,,1.02,S,N,15,Project,Low Volume,Buffered Bike Lane,Philadelphia,West,101126
-75.153683,39.837579,129819,jh,Cyclical Count Program  Year 1,2017/04/19 00:00:00+00,2017,3401582120,45,s broad st southbound lanes,south,centre st,delaware st / cooper st,Bicycle 2,39.837579,-75.153683,,1.02,N,S,114,Cyclical,Mixed,Bike Lane,Gloucester,Woodbury City,101212
-74.7879,39.99384,136874,jh,,2017/10/19 00:00:00+00,2017,3400548900,,high st southbound lanes,south,cr 537 mill st,brainerd st,Bicycle 2,39.99384,-74.7879,,1.02,N,S,24,,Low Volume,Mixed Traffic,Burlington,Mount Holly Township,101238
-74.855741,40.072485,136871,jh,Cyclical Count Program  Year 2,2017/07/14 00:00:00+00,2017,3400508920,,high st northbound lanes,north,us 130,broad st,Bicycle 2,40.072485,-74.855741,,1.02,S,N,4,Cyclical,Low Volume,Mixed Traffic,Burlington,Burlington City,101239
-74.713526,40.148333,136865,jh,Cyclical Count Program  Year 2,2017/07/06 00:00:00+00,2017,3400506670,,farnsworth ave eastbound lanes,east,cr 662 park st,miles ave,Bicycle 2,40.148333,-74.713526,,1.02,W,E,13,Cyclical,Recreation,Mixed Traffic,Burlington,Bordentown City,101240
-74.99837,39.955679,136875,jh & ad,Cyclical Count Program  Year 2,2017/07/25 00:00:00+00,2017,3400543740,537,e main st eastbound lanes,east,poplar ave,cr 610 s fellowship rd,Bicycle 2,39.955679,-74.99837,,1.02,W,E,18,Cyclical,Recreation,Striped Shoulder,Burlington,Maple Shade Township,101325
-74.998319,39.955753,136876,jh,Cyclical Count Program  Year 2,2017/07/25 00:00:00+00,2017,3400543740,537,e main st westbound lanes,west,poplar ave,cr 610 s fellowship rd,Bicycle 2,39.955753,-74.998319,,1.02,E,W,27,Cyclical,Recreation,Striped Shoulder,Burlington,Maple Shade Township,101326
-75.333505,40.081541,136505,jh,,2017/07/04 00:00:00+00,2017,4209179136,,renaissance blvd northbound lanes,north,pa 320 swedeland rd,graduate ct,Bicycle 2,40.081541,-75.333505,,1.02,S,N,1,Project,Low Volume,Mixed Traffic,Montgomery,Upper Merion Township,101349
-75.333632,40.081481,136506,jh,,2017/07/04 00:00:00+00,2017,4209179136,,renaissance blvd southbound lanes,south,pa 320 swedeland rd,graduate ct,Bicycle 2,40.081481,-75.333632,,,N,S,1,Project,Low Volume,Mixed Traffic,Montgomery,Upper Merion Township,101350
-75.348149,40.081912,136508,jh,,2017/05/09 00:00:00+00,2017,4209179136,,crooked la northbound lanes,north,philadelphia ave,schenely ave,Bicycle 2,40.081912,-75.348149,,1.02,N,S,5,Project,Low Volume,Mixed Traffic,Montgomery,Upper Merion Township,101352
-75.348227,40.081906,136509,jh,,2017/05/09 00:00:00+00,2017,4209179136,,crooked la southbound lanes,south,philadelphia ave,schenely ave,Bicycle 2,40.081906,-75.348227,,1.02,N,S,1,Project,Low Volume,Mixed Traffic,Montgomery,Upper Merion Township,101353
-75.348574,40.081284,136510,jh,,2017/05/09 00:00:00+00,2017,4209179136,,crooked la northbound lanes,north,yerkes rd,philadelphia ave,Bicycle 2,40.081284,-75.348574,,1.02,S,N,12,Project,Low Volume,Mixed Traffic,Montgomery,Upper Merion Township,101354
