"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"","4","67","2005","2006027135","02","","W","4","4","","","25","TULPEHOCKEN ST","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2006027135","02","2086","N","3","2","4007","0040","25","WAYNE AV","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161047","99","","E","4","4","","","","HART LN","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161047","99","","S","3","4","","","","KENSINGTON AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161242","02","1846","B","3","2","3009","0100","35","RIDGE AV","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161246","99","0","E","3","4","","","","LOGAN ST","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161276","02","0","E","4","4","","","25","DUNCANNON AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161276","02","1214","N","3","2","1001","0010","25","RISING SUN AV","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161511","01","0","E","4","4","","","25","CLIVEDEN ST","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161511","01","0","N","3","4","","","25","LIMEKILN PK","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161521","99","","S","5","4","","","","SEVENTIETH ST","ROADWAY_2005_Philadelphia","67301"
"","5","67","2005","2005161521","99","","N","4","4","","","","CHURCH LN","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161521","02","0","N","3","2","3015","0020","25","COBBS CREEK PY","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161541","02","0","S","3","4","","","25","CONVENTION AV","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161748","01","0","W","4","4","","","","SERGEANT ST","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161748","01","0","N","3","4","","","","TWENTYFIFTH ST","ROADWAY_2005_Philadelphia","67301"
"1","3","67","2005","2005161811","02","545","E","3","2","8061","0750","","RAMP RD","ROADWAY_2005_Philadelphia","67301"
"3","4","67","2005","2005161853","02","0","S","4","2","0611","0101","25","BROAD ST","ROADWAY_2005_Philadelphia","67301"
"3","5","67","2005","2005161853","02","1936","W","5","2","2016","0040","","ALLEGHENY AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161853","02","0","N","3","2","0611","0100","25","BROAD ST","ROADWAY_2005_Philadelphia","67301"
"","6","67","2005","2005161863","99","","S","6","4","","","","FIFTYEIGHTH ST","ROADWAY_2005_Philadelphia","67301"
"3","4","67","2005","2005161863","02","0","S","4","2","3015","0053","25","COBBS CREEK PY","ROADWAY_2005_Philadelphia","67301"
"","5","67","2005","2005161863","99","","W","5","4","","","","HOFFMAN AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161863","02","0","N","3","2","3015","0052","25","COBBS CREEK PY","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161872","03","2042","S","3","2","6001","0161","40","ROOSEVELT BL","ROADWAY_2005_Philadelphia","67301"
"3","5","67","2005","2005161878","02","1102","","5","2","1004","0050","","ERIE AV","ROADWAY_2005_Philadelphia","67301"
"3","4","67","2005","2005161878","02","0","S","4","2","1003","0021","35","WHITAKER AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161878","02","0","N","3","2","1003","0020","25","WHITAKER AV","ROADWAY_2005_Philadelphia","67301"
"1","3","67","2005","2005161880","04","2150","N","3","1","0095","0164","55","DELAWARE EX","ROADWAY_2005_Philadelphia","67301"
"3","6","67","2005","2005161915","02","0","S","6","2","2009","0121","35","HARBISON AV","ROADWAY_2005_Philadelphia","67301"
"3","5","67","2005","2005161915","03","0","N","5","2","2009","0120","35","HARBISON AV","ROADWAY_2005_Philadelphia","67301"
"3","4","67","2005","2005161915","02","1600","S","4","2","2007","0151","35","FRANKFORD AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161915","02","1587","N","3","2","2007","0150","35","FRANKFORD AV","ROADWAY_2005_Philadelphia","67301"
"","3","67","2005","2005161928","01","0","W","4","4","","","25","PIKE ST","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005161928","01","0","N","3","4","","","25","PERCY ST","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005161972","02","300","N","3","2","1001","0150","35","VERREE RD","ROADWAY_2005_Philadelphia","67301"
"3","5","67","2005","2005162001","02","0","W","5","2","1002","0061","35","ADAMS AV","ROADWAY_2005_Philadelphia","67301"
"3","4","67","2005","2005162001","02","0","E","4","2","1002","0060","40","ADAMS AV","ROADWAY_2005_Philadelphia","67301"
"3","3","67","2005","2005162001","02","0","S","3","2","1001","0030","30","RISING SUN AV","ROADWAY_2005_Philadelphia","67301"
"","4","67","2005","2005162016","99","","N","4","4","","","","SECOND ST","ROADWAY_2005_Philadelphia","67301"
