"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2005129587","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130104","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130457","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130463","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130636","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130728","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005130738","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005131610","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005131611","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005132494","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005132587","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005132621","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404001","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404097","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404108","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404119","4","N","N","U","Y","1","Y","Y","N","N","01100","","","","","","","","N","N","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404398","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404403","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404404","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404405","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404406","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404407","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404415","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404417","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404418","2","","","","","","","","","","","","","","","","","","","","N","N","Y","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404419","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404421","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404426","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404440","2","","","","","","","","","","","","","","","","","","","","N","N","Y","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404443","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404475","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404487","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404491","1","U","U","U","N","0","N","N","U","U","99999","U","N","0","N","N","U","U","Y","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404492","1","U","U","U","U","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404525","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404530","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404544","2","N","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404546","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404549","2","U","U","U","U","9","U","U","U","U","99999","U","U","9","U","U","U","U","Y","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404559","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404617","2","","","","","","","","","","","","","","","","","","","","N","N","Y","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404619","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404634","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404634","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404642","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404644","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404646","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005404786","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405017","1","Y","Y","N","Y","1","U","Y","Y","N","99999","","","","","","","","N","N","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405464","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405466","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405470","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405479","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405481","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405881","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405885","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405903","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405906","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2005","67","CYCLE_2005_Philadelphia","67301"
"2005405930","2","N","U","U","Y","1","U","U","U","U","99999","","","","","","","","N","N","","","","","2005","67","CYCLE_2005_Philadelphia","67301"
