"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2009121095","1","1","1","4","99","99","01","1","21","F","0","0","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121095","2","1","1","4","99","99","01","1","20","M","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121098","2","2","2","4","03","03","01","1","30","F","0","1","","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121098","2","1","1","0","03","02","01","1","32","M","0","1","","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121098","1","2","2","4","03","01","03","1","22","F","0","1","","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121098","1","1","1","4","03","01","01","1","24","M","0","1","","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121113","1","1","1","4","03","00","01","0","32","M","0","2","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121642","1","1","1","0","03","99","01","1","41","M","0","1","N","NJ","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121642","3","3","1","4","03","99","01","1","47","M","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121642","2","2","1","8","03","04","01","1","54","F","0","1","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009036396","2","1","7","1","00","00","00","0","13","M","0","0","Y","","0","02","2","2","2009","67","PERSON_2009_Philadelphia","67301"
"2009036396","1","1","1","0","99","12","01","1","54","M","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118924","1","1","1","0","99","99","01","0","99","M","0","0","","ZZ","9","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118924","2","1","7","8","00","00","00","0","7","F","0","0","Y","","9","99","2","9","2009","67","PERSON_2009_Philadelphia","67301"
"2009118945","1","1","1","0","99","01","01","0","21","F","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118945","2","1","1","4","01","01","01","0","20","F","0","0","Y","NJ","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121824","1","1","1","0","99","12","01","0","53","M","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121824","2","1","7","4","00","00","00","0","51","M","0","0","N","","0","05","3","2","2009","67","PERSON_2009_Philadelphia","67301"
"2009118415","1","1","1","9","99","12","01","1","24","M","0","1","N","PA","9","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118415","2","3","2","0","03","12","03","1","25","F","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118415","2","2","1","8","03","12","01","1","26","F","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118851","2","3","2","4","99","99","06","0","10","M","0","0","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118851","2","2","2","4","99","99","05","0","20","F","0","0","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118851","2","1","1","9","99","99","01","1","48","M","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118851","1","1","1","9","99","99","01","1","56","M","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118852","1","1","1","0","99","99","01","0","99","F","0","0","","","9","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118852","2","1","1","8","99","99","01","1","18","M","0","1","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118882","1","2","2","2","99","99","03","1","26","F","0","2","Y","PA","9","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118882","1","1","1","1","99","99","01","1","27","M","0","2","Y","PA","9","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118952","2","2","2","0","99","00","03","0","76","F","0","0","N","NJ","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118952","2","1","1","0","99","00","01","0","23","M","0","0","N","NJ","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118952","3","1","1","0","99","00","01","0","67","F","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118953","1","1","1","4","03","99","01","1","26","F","0","1","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118953","2","3","2","0","04","99","04","1","4","F","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118953","2","2","2","0","99","99","03","1","25","F","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118953","2","1","1","0","99","99","01","1","28","M","0","1","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009118974","1","1","1","0","03","00","01","0","67","M","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121085","2","2","2","3","99","00","03","0","54","F","0","3","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121085","2","1","1","4","99","00","01","0","74","F","0","0","Y","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121085","1","2","2","8","00","00","06","0","58","F","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121085","1","1","1","0","99","00","01","0","26","M","0","0","N","PA","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
"2009121151","1","2","2","0","99","99","03","1","99","F","0","1","N","MD","0","","","","2009","67","PERSON_2009_Philadelphia","67301"
