"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2009046798","2","N","Y","N","Y","0","N","N","Y","Y","01200","","","","","","","","N","N","","","","","2009","67","CYCLE_2009_Philadelphia","67301"
"2009047077","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2009","67","CYCLE_2009_Philadelphia","67301"
"2009047980","1","N","N","U","N","1","Y","Y","N","N","99999","","","","","","","","N","U","","","","","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048217","1","N","Y","Y","Y","1","Y","Y","Y","N","00955","","","","","","","","N","N","","","","","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048633","2","","","","","","","","","","","","","","","","","","","","N","Y","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048670","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048708","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048710","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048835","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048856","1","","","","","","","","","","","","","","","","","","","","U","U","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048865","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2009","67","CYCLE_2009_Philadelphia","67301"
"2009048905","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2009","67","CYCLE_2009_Philadelphia","67301"
