"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","8","2","1234 MARKET ST 14TH ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009030190","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"02","1","2","50 SCHILLING ROAD","","HUNT VALLEY","MD","21031","DUNBAR ARMORED INC","3028924950","2009","2009030260","033000","","","","","N","","","","","","N","","00110623","03","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009030419","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009030427","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"05","9","1","25844 MARTIN DR","","SPIRIT LAKE","IA","51360","SCHROEDER TRUCKING LLC","9999999999","2009","2009030438","","","","","","N","","","","","","N","","00944714","04","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009030463","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"02","8","1","2905 ABBOTTSFORD AVE","","PHILADELPHIA","PA","19129","PHILLY TRANSPORTATION LLC","2158421222","2009","2009030475","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"03","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155804131","2009","2009030475","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","300 PENN AVE","","LEVITTOWN","PA","19057","LION CORP","9999999999","2009","2009030796","999999","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"03","9","1","286 HOMESTEAD AVE","","AVENEL","NJ","07001","GENERAL HAULERS INC","1800272101","2009","2009030802","800000","","","","","N","","","","","","U","","","99","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","440 N. BROAD ST","","PHILADELPHIA","PA","19130","SCHOOL DIST OF PHILA","9999999999","2009","2009030805","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009031128","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","4","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009031146","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009031208","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"05","1","1","2824 SOUTH RUTHERFORD B","","MURFREESBORO","TN","37130","WELLS FARGO","5704990562","2009","2009027342","031000","","","","","N","","","","","","N","","00056064","06","COMMVEH_2009_Philadelphia","67","67301"
"02","1","3","179-02 150TH AVENUE","","JAMAICA","NY","11434","SKYWAY SYSTEMS CORP","7186568899","2009","2009096773","033000","","","","","N","","","","","","N","","00639882","03","COMMVEH_2009_Philadelphia","67","67301"
"02","8","2","4157 CRESSON STREET","2747 SALMON STREET","PHILADELPHIA","PA","19127","LEAHY TRANSPORTATION INC","2154263464","2009","2009018447","028000","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"05","1","2","270 RUE DELANSE","","ST. MARC SUR RICHELI","QC","J0L2E0","RENALD GRAVELINE","5148383738","2009","2009018677","042000","","","","","N","","","","","","N","","00857334","08","COMMVEH_2009_Philadelphia","67","67301"
"99","9","2","42 WESTMINSTER DR","","VOORHEES","NJ","08043","MGH DISTRIBUTORS","9999999999","2009","2009063830","","","","","","N","","","","","","N","","","99","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009063869","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","9","1","5250 OLD MALLMEERD RD","","FORT WAYNE","IN","46803","PENSKE TRUCK LEASING","9999999999","2009","2009063872","999999","","","","","N","","","","","","N","","","98","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009063878","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","9","1","409 SOUTH AVE","","HOLMES","PA","19043","HAMID FARID","9999999999","2009","2009063882","080000","","","","","N","","","","","","U","","","05","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009063893","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"02","8","1","2000 MARKET ST STE. 750","","PHILADELPHIA","PA","19103","YMCA OF PHILADELPHIA  VICIN","9999999999","2009","2009063910","999999","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","9","1","1 RIVER PLACE","","WILMINGTON","DE","19201","AAA MID ATLANTIC","9999999999","2009","2009063936","025500","","","","","","","","","","","N","","","99","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009063961","","","","","","N","","","","","","N","","","10","COMMVEH_2009_Philadelphia","67","67301"
"99","7","1","100 S. BROAD ST","","PHILADELPHIA","PA","99999","CITY OF PHILADELPHIA","9999999999","2009","2009063983","060000","","","","","N","","","","","","N","","","05","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET STREET14TH","","PHILADELPHIA","PA","19107","SOUTHEASTERN PENNSYVANIA TRANS","9999999999","2009","2009063988","999999","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009063990","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"02","8","2","2752 MT CARMEL","","GLENSIDE","PA","19038","CONCORD COACH USA INC","2155726100","2009","2009064552","999999","","","","","N","","","","","","U","","","10","COMMVEH_2009_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2009","2009064683","","","","","","N","","","","","","N","","","11","COMMVEH_2009_Philadelphia","67","67301"
"03","8","2","PO BOX 261","","RYE","NY","105800261","COUNTY COACH CORP-JAK RABBIT LIN","9149675959","2009","2009066917","","","","","","N","","","","","","N","","00483526","11","COMMVEH_2009_Philadelphia","67","67301"
