"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2013022200","2","1","1","0","99","99","01","1","29","M","0","1","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022200","1","1","1","2","00","00","01","0","35","M","0","0","","","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022249","1","1","1","0","99","99","01","1","22","F","0","1","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022249","2","1","7","4","00","00","00","0","18","F","0","0","Y","","0","99","2","9","2013","67","PERSON_2013_Philadelphia","67301"
"2013022285","1","2","2","3","00","00","11","2","99","M","1","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022285","1","1","1","0","99","99","01","1","65","M","0","1","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022300","1","1","1","0","03","04","01","0","53","M","0","0","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022578","1","1","1","0","03","10","01","1","58","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022578","2","3","2","4","00","10","03","1","23","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022578","2","2","1","4","03","10","01","1","20","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032458","2","1","1","4","00","00","01","0","43","F","0","0","","","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032458","1","1","1","0","99","00","01","0","52","M","0","0","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032489","1","1","1","8","00","00","01","0","32","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032489","2","1","1","0","00","00","01","0","25","F","0","0","N","FL","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032698","1","1","1","8","03","12","01","1","62","F","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032698","2","2","1","0","03","12","01","1","46","F","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032466","1","1","1","9","99","99","01","0","24","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032500","1","1","1","0","03","00","01","0","46","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032500","2","2","7","3","00","00","00","0","18","F","0","0","Y","","0","99","2","9","2013","67","PERSON_2013_Philadelphia","67301"
"2013033045","1","1","1","0","03","01","01","1","51","M","0","1","N","PA","1","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013033045","3","2","1","0","03","01","01","1","41","F","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013031374","1","1","1","0","99","12","01","0","40","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013031374","2","2","1","8","99","12","01","0","49","M","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032517","1","1","1","8","99","01","01","0","43","M","0","0","N","PA","1","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032517","2","3","2","0","04","99","06","0","1","M","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032517","2","2","1","2","99","04","01","0","24","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032518","1","3","2","0","04","10","04","1","4","M","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032518","1","2","2","0","03","10","06","1","6","F","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032518","1","1","1","0","99","10","01","1","49","M","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032518","2","1","7","1","00","00","00","0","86","M","0","0","Y","","9","01","2","1","2013","67","PERSON_2013_Philadelphia","67301"
"2013032696","1","1","1","0","03","12","01","0","22","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032696","2","2","1","0","03","12","01","0","21","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022213","1","1","1","0","99","00","01","0","62","F","0","0","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022213","2","2","2","4","99","00","15","0","44","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022213","2","1","1","0","99","00","01","0","50","M","0","0","","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022218","2","1","1","9","99","04","01","0","39","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022218","1","1","1","9","99","00","01","0","41","M","0","0","N","NJ","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022232","2","1","1","8","99","00","01","0","31","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022232","1","2","2","0","99","00","03","0","26","F","0","0","N","NJ","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022232","1","1","1","0","99","00","01","0","26","M","0","0","N","NJ","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022232","3","1","1","8","99","00","01","0","40","M","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022292","2","2","2","0","99","99","03","0","99","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022292","2","1","1","0","99","99","01","0","71","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022292","1","2","2","3","99","99","03","0","49","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022292","1","1","1","0","99","99","01","0","61","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022307","1","1","1","4","01","00","01","0","29","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022307","2","2","1","4","01","00","01","0","49","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022311","1","1","7","4","00","00","00","0","24","M","0","0","Y","","9","99","2","9","2013","67","PERSON_2013_Philadelphia","67301"
"2013022311","2","2","1","0","05","00","01","0","66","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013022780","2","2","2","0","03","01","03","1","21","M","0","1","N","DE","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013031360","1","1","1","0","03","01","01","1","68","M","0","1","N","NJ","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013031360","2","2","1","4","03","01","01","1","35","M","0","1","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013031715","1","1","1","4","03","10","01","1","20","F","0","1","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032440","2","1","1","8","05","00","01","0","42","M","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032440","1","1","1","0","99","00","01","0","20","M","0","0","N","NJ","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032442","1","1","1","4","12","00","01","0","54","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032442","2","1","1","0","03","10","01","1","46","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032453","1","2","2","0","03","10","03","0","48","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032453","1","1","1","4","03","10","01","0","17","F","0","0","Y","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032453","2","1","1","0","03","10","01","0","19","M","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032481","2","1","1","0","99","99","01","0","29","F","0","0","N","PA","0","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032481","1","2","2","0","99","99","99","0","99","F","0","0","N","","9","","","","2013","67","PERSON_2013_Philadelphia","67301"
"2013032481","1","1","1","9","99","99","01","0","99","M","0","0","N","","9","","","","2013","67","PERSON_2013_Philadelphia","67301"
