"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","8","3","440 N BRAOD ST","","PHILADELPHIA","PA","19130","THE SCHOOL DISTRICT OF PHILADE","9999999999","2013","2013023515","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2013","2013023524","999999","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"03","4","1","201 INDIAN RUN DR","","DOUGLASSVILLE","PA","19518","WJ MENKINS HAULING INC","6107504577","2013","2013085745","073280","","","","","N","","","","","","N","","01489984","04","COMMVEH_2013_Philadelphia","67","67301"
"99","1","1","1592 RTE 38 P.O.BOX 619","","LUMBERTON","PA","08048","MILLER AUTO LEASING CO","9999999999","2013","2013086191","","","","","","N","","","","","","N","","","09","COMMVEH_2013_Philadelphia","67","67301"
"99","1","2","UNKNOWN","","UNKNOWN","NJ","99999","SALEM TRUCK LEASING","9999999999","2013","2013086199","999999","","","","","N","","","","","","N","","","05","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2013","2013086212","","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","1","1713 N MAIN SRD","P.O. BOX 1360","VINELAND","NJ","08360","PENCO LEASING LLC","9999999999","2013","2013086222","","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"99","1","1","324 E WHITE HORSE PIKE","","GALLOWAY","NJ","08203","JUST FOUR WHEELS INC","9999999999","2013","2013086277","025995","","","","","N","","","","","","N","","","04","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","2500 WHEATSHEAF LANE","","PHILADELPHIA","PA","19137","DURHAM SCHOOL SERVICES LP","9999999999","2013","2013125873","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","1","PO BOX 580 BRATTHEBORO","","BRATTNE BORO","VT","05302","CS RODGER WHOLESALE","8008826926","2013","2013125879","999999","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","3101 ORTHODOX ST","","PHILADELPHIA","PA","19137","YELLOWBIRD BUS COMPANY INC","9999999999","2013","2013125933","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","9","5","3375 RICHMOND ST","","PHILADELPHIA","PA","19134","PHILADELPHIA TIRE SERVICE INC","9999999999","2013","2013125949","019500","","","","","N","","","","","","N","","","05","COMMVEH_2013_Philadelphia","67","67301"
"02","8","1","MARKET","","PHILA","PA","19107","SEPTA","9999999999","2013","2013125987","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","5","LAKEWOOD","","UNKNOWN","NJ","99999","EAN HOLDINGS","9999999999","2013","2013125992","999999","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"02","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","TRENTON-NPHILADELPHIA COACH CO","2155807947","2013","2013101608","042530","","","","","N","","","","","","N","","00010206","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","MARKET","","PHILA","PA","19107","SEPTA","9999999999","2013","2013101751","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","MARKET","","PHILA","PA","19107","SEPTA","9999999999","2013","2013101785","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","MARKET","","PHILA","PA","19107","SEPTA","9999999999","2013","2013101787","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"02","6","1","7223 STATE RD. UNIT 3","","PHILADELPHIA","PA","19135","PRO TECK AUTMOTIVE","9999999999","2013","2013101872","025000","","","","","N","","","","","","N","","01521045","09","COMMVEH_2013_Philadelphia","67","67301"
"04","7","1","1625 HAMPTON RD","","HAVERTOWN","PA","19083","JOSEPH SON TRIAXLE SERVICE INC","6104493024","2013","2013101873","080000","","","","","N","","","","","","N","","00835739","08","COMMVEH_2013_Philadelphia","67","67301"
"02","8","1","502 GERMANTOWN PIKE","","LAFAYETTE HILL","PA","19444","SAGUE AUTO SERVICE INC DBA SAGUE","6108285776","2013","2013102079","033000","","","","","N","","","","","","N","A-00110643","00619997","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","1","UNKNOWN","","UNKNOWN","ZZ","999999","UNKNOWN","9999999999","2013","2013049954","","","","","","","","","","","","U","","99999999","08","COMMVEH_2013_Philadelphia","67","67301"
"03","1","1","7135 CENTENNIAL PLACE","","NASHVILLE","TN","37209","WESTERN EXPRESS","2672397401","2013","2013050093","017704","","","","","N","","","","","","N","","00511412","08","COMMVEH_2013_Philadelphia","67","67301"
"05","2","1","2740 N MAYFAIR","PO BOX 4208","SPRINGFIELD","MO","65803","NEW PRIME INC","9999999999","2013","2013050251","080000","","","","","N","","","","","","N","","00003106","08","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","3740 E THOMPSON ST","","PHILADELPHIA","PA","19137","EXPRESS OF PA INC","9999999999","2013","2013050302","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","9","1","UNK","","UNK","IN","99999","GREENWOODMOTOR","9999999999","2013","2013050355","999999","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"02","1","2","3141 CHESTNUT ST","","PHILADELPHIA","PA","19104","DREXEL UNIVERSITY","2158952000","2013","2013084408","026000","","","","","N","","","","","","N","","","03","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2013","2013084409","","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"03","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2013","2013084411","","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"02","1","2","3495 SANGAMON AVE","","SPRINGFIELD","IL","62702","COCACOLABOTTLING USA","2154274500","2013","2013084412","","","","","","N","","","","","","N","","00060811","03","COMMVEH_2013_Philadelphia","67","67301"
"03","0","2","7500 LINDBERGH BLVD","","PHILADELPHIA","PA","19176","US POSTAL SERVICE","2154924890","2013","2013084492","080000","","","","","N","","","","","","N","","06628064","07","COMMVEH_2013_Philadelphia","67","67301"
"05","6","1","157 PLEASANT ST APT 406","","MALDEN","MA","02148","ESTENIO LIMA","7816088941","2013","2013084809","080000","","","","","N","","","","","","N","","00912923","08","COMMVEH_2013_Philadelphia","67","67301"
"02","1","2","1178 MARKRESS RD","","CHERRY HILL","NJ","08034","ARAMARK UNIFORM SRV","4847970198","2013","2013080365","023500","","","","","N","","","","","","N","","00221707","03","COMMVEH_2013_Philadelphia","67","67301"
"99","1","3","BERLIN","","CHERRYHILL","NJ","08034","RYDER","9999999999","2013","2013080432","999999","","","","","N","","","","","","N","","","08","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","1234","MARKET ST","PHILA","PA","19107","SEPTA","2155804312","2013","2013080436","999999","","","","","N","","","","","","U","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","MARKET","","PHILA","PA","19107","SEPTA","9999999999","2013","2013081199","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"03","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SOUTHEASTERNPENNSYLVANIATRANSPOR","2155807800","2013","2013041958","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"02","1","2","7548 BREWSTER AVE","","PHILADELPHIA","PA","19142","HERR FOODS INC","2154925990","2013","2013041959","999999","","","","","N","","","","","","N","","","03","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155803100","2013","2013041966","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"02","1","1","78  HOLSTEIN ST","","PHILADELPHIA","PA","19019","PEPSI","2153657338","2013","2013042797","029000","","","","","N","","","","","","N","","00692947","09","COMMVEH_2013_Philadelphia","67","67301"
"09","1","1","3400 E MAIN","","DANVILLE","IL","61832","TRANSCO INC","5709037007","2013","2013121322","999999","","","","","N","","","","","","N","","01062707","08","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2013","2013121403","","","","","","N","","","","","","N","","","10","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILADELPHIA","PA","191","SEPTA","2155807800","2013","2013121454","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","9","1","1338 FROG HOLLOW RD","","JENKINTOWN","PA","19046","MARC STEIN STEEL","9999999999","2013","2013121475","011200","","","","","N","","","","","","N","","","99","COMMVEH_2013_Philadelphia","67","67301"
"99","8","1","WALNUT","","PHILA","PA","99999","IMPERIAL PARKING US TN","9999999999","2013","2013121490","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2013","2013121546","999999","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2013","2013121573","","","","","","N","","","","","","N","","","11","COMMVEH_2013_Philadelphia","67","67301"
"99","1","2","4428 N AMERICAN ST","","PHILA","PA","19140","KING SEAFOOD","9999999999","2013","2013121574","025952","","","","","N","","","","","","N","","","05","COMMVEH_2013_Philadelphia","67","67301"
