"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2013037464","1","U","U","Y","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2013","67","CYCLE_2013_Philadelphia","67301"
"2013037465","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2013","67","CYCLE_2013_Philadelphia","67301"
"2013037496","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101729","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101731","2","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101736","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","N","","","","","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101744","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101745","1","","","","","","","","","","","","","","","","","","","","N","N","N","N","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101753","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101754","2","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101761","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2013","67","CYCLE_2013_Philadelphia","67301"
"2013101762","2","","","","","","","","","","","","","","","","","","","","N","U","N","N","2013","67","CYCLE_2013_Philadelphia","67301"
