"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2011108843","1","2","2","0","03","00","03","0","28","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108843","1","1","1","0","03","00","01","0","24","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108845","1","3","2","0","99","10","04","0","9","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108845","1","2","2","4","99","03","06","0","11","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108845","1","1","1","0","99","10","01","0","51","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108845","2","1","1","0","99","12","01","0","39","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108851","2","1","7","4","00","00","00","0","27","F","0","0","Y","","0","01","1","9","2011","67","PERSON_2011_Philadelphia","67301"
"2011108851","1","2","2","0","04","12","04","1","1","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108851","1","1","1","0","99","12","01","1","29","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108858","1","1","1","8","03","00","01","0","30","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108858","2","1","1","0","03","00","01","0","22","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108869","2","1","1","0","99","99","01","0","66","M","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108869","1","1","1","8","03","00","01","0","43","M","0","3","N","NJ","2","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108869","3","1","1","0","99","99","01","0","32","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108875","1","1","1","8","99","99","01","0","72","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011108875","2","1","1","8","99","99","01","0","99","M","0","0","Y","ZZ","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132782","2","1","1","4","99","99","01","0","47","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132782","1","1","1","0","99","99","01","0","38","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132785","2","1","1","0","99","00","01","0","30","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132785","1","1","1","9","99","99","01","0","99","F","0","0","N","NJ","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132792","1","2","2","0","00","00","99","0","19","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132792","1","1","1","0","00","00","01","0","24","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132792","2","1","7","8","00","00","00","0","6","F","0","0","N","","0","05","2","9","2011","67","PERSON_2011_Philadelphia","67301"
"2011132804","1","1","1","0","03","00","01","0","54","F","0","0","N","NC","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011132804","2","1","7","8","00","00","00","0","54","F","0","0","Y","","0","05","2","2","2011","67","PERSON_2011_Philadelphia","67301"
"2011029951","1","1","1","0","03","10","01","0","25","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011029951","2","3","2","0","03","10","03","1","16","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011029951","2","2","1","0","03","10","01","0","17","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011029951","3","4","1","0","03","10","01","0","60","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011030202","1","1","1","4","03","01","01","0","61","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106128","3","1","1","0","99","99","01","1","39","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106128","1","1","1","0","99","01","01","1","20","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106128","2","1","1","4","99","99","01","1","43","F","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106133","1","1","1","0","99","00","01","0","27","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106133","2","3","2","0","00","00","99","0","99","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106133","2","2","2","3","00","00","14","0","56","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106133","2","1","1","0","99","00","01","0","47","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106174","1","1","1","9","00","00","01","0","61","U","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106174","2","1","1","4","01","04","01","1","35","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106181","1","1","1","4","03","00","01","0","67","M","0","0","","PA","9","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106209","2","1","1","4","99","04","01","0","22","F","0","0","Y","ZZ","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106209","1","3","2","0","99","04","06","0","4","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106209","1","2","2","3","99","04","03","0","35","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106209","1","1","1","3","99","04","01","0","27","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106226","2","1","1","8","99","01","01","1","25","F","0","1","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011106226","1","1","1","1","99","00","01","1","72","M","0","1","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2012037389","1","1","1","0","00","00","01","1","56","M","0","1","","PA","1","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2012037389","2","1","1","4","00","00","01","0","27","M","0","1","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031143","1","2","1","0","99","99","01","0","31","F","0","0","N","GA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031143","1","1","2","4","99","99","06","0","3","F","0","0","Y","GA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031143","2","1","1","0","99","99","01","0","29","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031161","1","3","2","8","99","99","06","1","32","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031161","1","2","2","8","99","99","99","1","26","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031161","1","1","1","0","99","99","01","0","34","M","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031161","2","1","1","0","99","99","01","0","25","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031212","2","2","2","0","03","00","03","0","73","F","0","0","N","NY","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031212","2","1","1","0","03","00","01","0","42","F","0","0","N","NY","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031212","1","1","1","0","03","00","01","0","31","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031214","2","2","1","0","03","04","01","0","32","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031214","1","1","1","0","03","04","01","0","22","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031300","1","1","1","8","00","01","01","0","56","M","0","0","","PA","1","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031353","1","1","1","9","99","99","01","0","26","M","0","0","","PA","1","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031353","2","1","1","4","99","99","01","0","60","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031355","1","1","1","0","03","00","01","0","53","M","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031355","2","1","1","4","03","00","01","0","82","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031382","1","1","1","4","99","99","01","1","20","M","0","1","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031382","2","2","1","4","99","99","01","1","34","M","0","1","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031414","1","2","2","4","99","00","03","0","19","F","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031414","1","1","1","0","99","00","01","0","22","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031414","2","3","2","0","99","00","06","0","25","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031414","2","2","2","0","99","00","03","0","40","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031414","2","1","1","0","99","00","01","0","39","F","0","0","N","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031423","1","1","1","8","99","01","01","0","60","M","0","0","Y","PA","1","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031455","2","1","1","8","99","99","01","0","52","M","0","0","Y","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031455","1","2","2","4","99","99","03","0","27","M","0","0","N","PA","9","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031455","1","1","1","8","99","99","01","0","32","M","0","0","N","PA","9","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031155","2","2","2","0","99","00","03","0","50","M","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031155","2","1","1","0","99","00","01","0","53","F","0","0","","PA","0","","","","2011","67","PERSON_2011_Philadelphia","67301"
"2011031155","3","1","1","0","99","99","01","0","40","M","0","0","","PA","9","","","","2011","67","PERSON_2011_Philadelphia","67301"
