"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011122720","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","5","1","613 W OAK LANE","","GLENDOLDEN","PA","19036","ADVANTAGE TRANS MIX","9999999999","2011","2011122724","999999","","","","","","","","","","999999999","N","","99999999","05","COMMVEH_2011_Philadelphia","67","67301"
"99","4","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2011","2011122725","999999","","","","","","","","","","999999999","N","","09999999","05","COMMVEH_2011_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011122776","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011122777","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","9","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2011","2011122870","999999","","","","","","","","","","999999999","N","","99999999","99","COMMVEH_2011_Philadelphia","67","67301"
"99","9","1","9400 NW 10TH ST","","OKLAHOMA CITY","OK","73127","SWIFT TRANSPORTATION","9999999999","2011","2011016926","","","","","","N","","","","","","N","","","99","COMMVEH_2011_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","2155807800","2011","2011016933","","","","","","N","","","","","","N","","","11","COMMVEH_2011_Philadelphia","67","67301"
"99","8","2","6821 NORWITCH DR","","PHILADELPHIA","PA","99999","ALL CITY TRANSPORT","9999999999","2011","2011016940","","","","","","N","","","","","","N","","","11","COMMVEH_2011_Philadelphia","67","67301"
"99","1","1","1401 BERLIN RD","","CHERRY HILL","NJ","08034","RYDER TRUCK RENTAL","9999999999","2011","2011016942","054000","","","","","N","","","","","","N","","","06","COMMVEH_2011_Philadelphia","67","67301"
"05","1","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2011","2011017092","080000","","","","","N","","","","","","N","","","08","COMMVEH_2011_Philadelphia","67","67301"
"05","1","1","2220 DUTCH GOLD ROAD","","LANCASTER","PA","17601","DUTCH GOLD HONEYINC","7173931716","2011","2011108674","080000","","","","","N","","","","","999999999","N","","00005569","08","COMMVEH_2011_Philadelphia","67","67301"
"05","2","1","25 BEACH ST","","FAIR HAVEN","MA","02719","RODRIGO RUIZ DELACRUZ","5099798463","2011","2011108733","999999","","","","","N","","","","","999999999","N","","00794743","08","COMMVEH_2011_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011108738","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","9","2","2701 RED LION RD","","PHILADELPHIA","PA","99999","RYDER QUAKER VALLEY FOOD","9999999999","2011","2011108813","080000","","","","","N","","","","","999999999","N","","99999999","08","COMMVEH_2011_Philadelphia","67","67301"
"99","2","1","52 BLUE MOUND RD","","FORT WORTH","TX","76106","NEWBERN TRANS CORP","9999999999","2011","2011108814","999999","","","","","","","","","","999999999","N","","99999999","08","COMMVEH_2011_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011108834","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","9","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2011","2011108864","999999","","","","","","","","","","999999999","N","","99999999","99","COMMVEH_2011_Philadelphia","67","67301"
"02","2","2","50E91ST ST SUTTE305A","","INDIANAPOLIS","TN","46240","NEWBERNTRANSPORTCORP","9999999999","2011","2011108890","720000","","","","","N","","","","","999999999","N","","99999999","08","COMMVEH_2011_Philadelphia","67","67301"
"99","8","1","13500 PHILMONT AVE","","PHILADELPHIA","PA","19116","CALVARY CHAPEL OF PHILA","9999999999","2011","2011108906","","","","","","N","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011108922","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2011","2011108939","999999","","","","","","","","","","999999999","N","","99999999","11","COMMVEH_2011_Philadelphia","67","67301"
"05","3","1","3500 PARKWAY RD","","BROOKFIELD","OH","44403","NICK STRIMBU INC","3304484046","2011","2011109397","080000","","","","","N","","","","","000123091","N","","00104037","08","COMMVEH_2011_Philadelphia","67","67301"
