"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"3","6","67","2011","2011100697","2 ","0","W","6","2","3005","0011","25","CIVIC CENTER BL","ROADWAY_2011_Philadelphia","67301"
"3","5","67","2011","2011100697","2 ","0","E","5","2","3005","0010","25","CIVIC CENTER BL","ROADWAY_2011_Philadelphia","67301"
"3","4","67","2011","2011100697","3 ","1783","S","4","2","3003","0051","30","UNIVERSITY AV","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100697","3 ","1782","N","3","2","3003","0050","40","UNIVERSITY AV","ROADWAY_2011_Philadelphia","67301"
"","3","67","2011","2011100707","02","","N","4","4","","","","FRONT ST","ROADWAY_2011_Philadelphia","67301"
"","4","67","2011","2011100707","02","","W","3","4","","","","HUNTING PARK AV","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100727","2 ","1995","S","3","2","2001","0150","30","RICHMOND ST","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100744","2 ","1869","N","3","2","0611","0110","30","BROAD ST","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100771","3 ","636","E","3","2","0291","0170","25","BROAD ST","ROADWAY_2011_Philadelphia","67301"
"","4","67","2011","2011100805","01","","N","4","4","","","","LC FROM ABBOTTSFORD AV","ROADWAY_2011_Philadelphia","67301"
"1","3","67","2011","2011100805","3 ","1386","N","3","2","0001","0110","50","ROOSEVELT BOULEVARD EX","ROADWAY_2011_Philadelphia","67301"
"3","6","67","2011","2011100817","3 ","0","N","4","2","6001","0320","45","ROOSEVELT BL","ROADWAY_2011_Philadelphia","67301"
"3","5","67","2011","2011100817","3 ","106","W","6","2","1018","0031","25","GRANT AV","ROADWAY_2011_Philadelphia","67301"
"3","4","67","2011","2011100817","2 ","61","E","5","2","1018","0030","30","GRANT AV","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100817","3 ","0","N","3","2","0001","0320","45","ROOSEVELT BL","ROADWAY_2011_Philadelphia","67301"
"3","5","67","2011","2011100859","4 ","0","N","5","2","3015","0010","25","COBBS CREEK PY","ROADWAY_2011_Philadelphia","67301"
"","6","67","2011","2011100859","02","","W","6","4","","","","WOODLAND AV","ROADWAY_2011_Philadelphia","67301"
"3","4","67","2011","2011100859","2 ","2385","S","4","2","3013","0041","35","ISLAND AV","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100859","2 ","2386","N","3","2","3013","0040","35","ISLAND AV","ROADWAY_2011_Philadelphia","67301"
"","4","67","2011","2011100867","02","","N","4","4","","","25","MANSFIELD ST","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100867","2 ","1029","E","3","2","4017","0060","35","UPSAL ST","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011100879","2 ","1856","N","3","2","3019","0064","35","PASSYUNK AV","ROADWAY_2011_Philadelphia","67301"
"","3","67","2011","2011100911","02","","N","4","4","","","35","FIFTYSIXTH ST","ROADWAY_2011_Philadelphia","67301"
"","4","67","2011","2011100911","01","","W","3","4","","","","PEMBERTON ST","ROADWAY_2011_Philadelphia","67301"
"1","4","67","2011","2011052062","1 ","0","S","4","2","8013","0250","","RAMP RD","ROADWAY_2011_Philadelphia","67301"
"3","3","67","2011","2011052062","2 ","1669","W","3","2","2016","0110","30","ALLEGHENY AV","ROADWAY_2011_Philadelphia","67301"
"1","3","67","2011","2011007674","3 ","1669","S","3","1","0095","0151","55","DELAWARE EX","ROADWAY_2011_Philadelphia","67301"
