"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2004002550","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004003767","1","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","Y","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004004054","1","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","U","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005318","2","","","","","","","","","","","","","","","","","","","","Y","U","Y","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005505","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005528","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005528","3","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005532","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005533","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005573","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005576","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005673","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005684","1","U","U","U","U","0","","","N","U","99999","","","","","","","","N","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004005685","1","U","U","U","Y","1","U","Y","U","U","99999","","","","","","","","N","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004006758","1","U","U","U","U","0","","","U","U","99999","","","","","","","","U","U","","","","","2003","67","CYCLE_2003_Philadelphia","67301"
"2004007056","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004007064","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
"2004007079","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2003","67","CYCLE_2003_Philadelphia","67301"
