"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"","4","67","2003","2004045128","01","","E","4","4","","","25","RUAN ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045128","02","","N","3","2","0073","","25","TORRESDALE AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045210","02","","E","3","4","","","35","BYBERRY RD","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045235","02","","N","4","4","","","25","LIMEKILN PK","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045235","02","","W","3","4","","","25","STENTON AV","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004058126","02","","N","3","4","","","","TWENTIETH ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004058126","02","","E","4","4","","","","LUDLOW ST","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004058222","02","","W","4","4","","","","RACE ST","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004058222","02","1141","S","3","2","3015","0091","35","SIXTYTHIRD ST","ROADWAY_2003_Philadelphia","67301"
"1","3","67","2003","2004059037","03","1495","S","4","2","0001","0121","50","","ROADWAY_2003_Philadelphia","67301"
"1","4","67","2003","2004059037","01","580","S","3","2","8041","0260","","RAMP N RD","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004059188","02","801","W","3","2","0073","0051","30","COTTMAN AV","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004059216","02","","W","4","4","","","","LOTT ST","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004059216","02","1728","S","3","2","0001","0321","","ROOSEVELT BL","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004059255","02","","E","4","4","","","25","WALNUT LN","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004059255","02","","N","3","3","","","35","LIMEKILN PK","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004059309","03","2704","E","3","2","0291","0160","25","BROAD ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045195","02","","N","3","4","","","25","WAYNE AV","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045197","01","","E","4","4","","","","SEDGLEY AV","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004045197","02","80","N","3","2","0611","0090","","BROAD ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045203","01","","W","4","4","","","25","PASSMORE RD","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045203","01","","S","3","4","","","25","ERDRICK ST","ROADWAY_2003_Philadelphia","67301"
"1","3","67","2003","2004045325","03","300","S","3","2","0001","0091","50","ROOSEVELT EXPWY EX","ROADWAY_2003_Philadelphia","67301"
"1","4","67","2003","2004045545","01","1320","E","4","2","8025","0250","","ACADEMY RAMP RD","ROADWAY_2003_Philadelphia","67301"
"1","3","67","2003","2004045545","04","1664","S","3","1","0095","0315","55","","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053423","01","","N","3","4","","","25","GREEN ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053449","02","","N","3","4","","","","SWANSON AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053453","02","","E","3","4","","","35","COBBS CREEK PK","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004053540","99","","S","4","4","","","25","FIFTEENTH ST","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004053540","02","673","W","3","2","2010","0030","","CECIL B MOORE AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045115","02","","E","4","4","","","35","GREENE ST","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045115","04","","N","3","4","","","35","LINCOLN DR","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045144","04","","E","4","4","","","","PATTISON AV","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004045144","04","1269","E","3","2","0291","0100","","PENROSE AV","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045150","02","","N","3","4","","","","SIXTEENTH ST","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004045150","02","223","N","4","2","2010","0030","","C B MOORE AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004041484","01","","N","3","4","","","25","FIFTITH ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004041486","02","","N","3","4","","","20","FIFTH ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004041496","02","","E","4","4","","","25","FORTYFIRST ST","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004041496","01","","E","3","4","","","25","SOUTH CONCOURSE DR","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045202","01","","W","3","4","","","","TASKER ST","ROADWAY_2003_Philadelphia","67301"
"3","3","67","2003","2004045695","02","1427","S","3","2","0001","0071","35","CITY AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045181","01","","E","4","4","","","","WHEELER ST","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004045181","02","","N","3","4","","","","SIXTYSECOND ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045522","01","","W","3","4","","","25","HAVERFORD AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004046640","03","","W","3","1","0076","","50","INTERSTATE 76 EX","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053412","02","","E","3","4","","","30","EASTON RD","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053416","01","","N","3","4","","","25","THIRTY ST","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004053440","02","","U","4","4","","","","UNKNOWN RD","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004053440","02","","N","3","4","","","25","OXFORD AV","ROADWAY_2003_Philadelphia","67301"
"","4","67","2003","2004054258","02","","U","3","4","","","","NORTHEAST AV","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004054258","02","","U","4","4","","","","SAEMLER RD","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045141","01","","N","3","4","","","20","EIGHTH ST","ROADWAY_2003_Philadelphia","67301"
"1","3","67","2003","2004045288","03","700","E","3","1","0676","0002","45","","ROADWAY_2003_Philadelphia","67301"
"","3","67","2003","2004045317","02","","N","4","4","","","25","TWENTIETH ST","ROADWAY_2003_Philadelphia","67301"
