"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2003065913","1","0","ME","6","05688SD ","1997","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003066773","3","0","NJ","7","t3l612 ","2004","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067922","2","0","PA","","E0EZZ56 ","203 ","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067923","2","0","PA","","EGV0H6 ","075 ","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067935","1","0","ZZ","6","unknown ","9999","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067942","1","0","","","O ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067942","2","0","","","M ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2003067942","4","0","","","M ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004002428","1","0","PA","8","xy42958 ","1997","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004002430","1","0","ME","7","a662736 ","2003","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004002550","1","0","ZZ","7","a95875 ","9999","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004002651","1","0","OR","7","hs10843 ","perm","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004004608","1","0","OK","7","6276DV ","9999","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005524","2","0","ZZ","7","UNKNOWN ","9999","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005530","2","0","NC","3","BHH290 ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005538","1","0","","","EPD96R ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005539","1","0","","","0EGI7Q ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005540","1","0","PA","9","EZF7904 ","2004","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005547","2","0","OK","6","1580AT ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005547","3","0","OK","6","1580FT ","2003","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005555","1","0","ZZ","7","UNKNOWN ","9999","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005561","1","0","QC","7","RJ69458-4 ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005563","1","0","PA","","ED46G8 ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005563","2","0","PR","","F0Y0S4R ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
"2004005563","3","0","","","E0CM27 ","","2003","67","TRAILVEH_2003_Philadelphia","67301"
