"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","8","1","200 w wyoming ave","","philadelphia","PA","19140","septa","9999999999","2001","2002014525","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
"99","8","2","200 W. WYOMING AVE.","","PHILA.","PA","19121","septa","2155806407","2001","2002014543","000000","","","","","N","","","","","000000000","","","00000000","10","COMMVEH_2001_Philadelphia","67","67301"
"99","8","2","200 w wyoming ave","","philadelphia","PA","19140","septa","9999999999","2001","2002014557","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
"99","8","2","200 W WYOMING AVE","J","PHILA","PA","19140","SOUTHEASTERN PENNA TRANSPORT A","2155806407","2001","2002014559","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
"99","8","1","1234 MARKET 14th FL00R","","PHILADELPHIA","PA","19102","SEPTA","2155805301","2001","2002014576","026000","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
"02","8","1","301 MONTGOMERY AVENUE","","ARDMORE","PA","19003","LOWER MERION SCHOOL","6106451941","2001","2002014592","999999","","","","","N","","","","","","N","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
"99","9","1","236 Winfield road","","Sarver","PA","16055","wayne w sell corp","8004444997","2001","2002014613","000000","","","","","N","","","","","000000000","U","","00000000","99","COMMVEH_2001_Philadelphia","67","67301"
"99","1","1","I8I5 WE5T 5T ANNE PLAC6","","SANTA ANA","CA","92704","THUONG NGU4EN","2099575586","2001","2002014628","080000","","","","","N","","","","","000331185","N","","00721207","08","COMMVEH_2001_Philadelphia","67","67301"
"99","9","1","613 OAK LANE","","GLENOLDEN","PA","19036","ADVANCE TRANSIT","6104612182","2001","2002014938","","","","","","","","","","","999999999","","A-00999999","99999999","99","COMMVEH_2001_Philadelphia","67","67301"
"99","8","1","3740 E THOMPSON ST","","PHILADELPHIA","PA","19132","ATLANTIC EXPRESS","2155375405","2001","2002014948","999999","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2001_Philadelphia","67","67301"
