"CRN","DISTRICT","COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","WORK_ZONE_TYPE","WORK_ZONE_LOC","WORK_ZONE_IND","INTERSECT_TYPE","TCD_TYPE","LOCATION_TYPE","URBAN_RURAL","FATAL_COUNT","INJURY_COUNT","PERSON_COUNT","TOTAL_UNITS","SCH_BUS_IND","SCH_ZONE_IND","LATITUDE","LONGITUDE","ARRIVAL_TM","CONS_ZONE_SPD_LIM","DISPATCH_TM","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","TOT_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","MAX_SEVERITY_LEVEL","COMM_VEH_COUNT","DEC_LAT","DEC_LONG","RDWY_SURF_TYPE_CD","COUNTY_YEAR"
"2001211795","06","67","67301","67301","2001","02","1","0030","00","3","1","0","4","1","","","N","01","2","00","3","0","3","4","2","N","N","40 04:07.262","75 09:24.365","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","1","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0687","-75.1568","","CRASH_2001_Philadelphia"
"2001010324","06","67","67301","67301","2001","06","6","0046","00","3","1","0","7","3","","","N","06","0","02","3","0","2","2","1","N","N","39 56:54.240","75 11:08.880","0052","","0048","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.9484","-75.1858","","CRASH_2001_Philadelphia"
"2001019671","06","67","67301","67301","2001","06","2","1045","10","1","1","0","4","1","","","N","05","2","00","3","0","1","2","2","N","N","40 00:18.281","75 10:43.631","1055","","1051","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0049","-75.1787","","CRASH_2001_Philadelphia"
"2001207551","06","67","67301","67301","2001","01","6","1709","17","3","1","0","4","1","","","N","00","0","07","3","0","3","4","2","N","N","","","9999","","9999","","0","","N","","0 ","","","","","","","","","","2","1","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","","","","CRASH_2001_Philadelphia"
"2001209154","06","67","67301","67301","2001","02","5","1913","19","3","1","0","4","1","","","N","02","2","00","3","0","1","2","2","N","N","40 01:46.920","75 06:18.360","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0298","-75.1051","","CRASH_2001_Philadelphia"
"2001233337","06","67","67301","67301","2001","03","5","1720","17","1","2","1","1","1","","","N","01","2","00","3","0","1","5","2","N","N","40 00:29.520","75 08:34.440","9999","","9999","","0","","N","","3 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.0082","-75.1429","","CRASH_2001_Philadelphia"
"2001009010","06","67","67301","67301","2001","07","3","1530","15","1","2","1","5","6","","","N","00","2","00","3","0","1","1","2","N","N","39 59:27.923","75 09:18.530","1600","","1552","2","1","1","N","","3 ","N","","","","","","","","","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","39.9911","-75.1551","","CRASH_2001_Philadelphia"
"2001009085","06","67","67301","67301","2001","06","2","1906","19","1","1","0","1","1","","","N","01","3","00","3","0","5","7","3","N","N","39 59:27.479","75 10:47.596","1914","","1909","","0","","N","","3 ","","","","","","","","","","3","2","0","0","1","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","39.991","-75.1799","","CRASH_2001_Philadelphia"
"2001016746","06","67","67301","67301","2001","05","7","1858","18","1","2","1","1","1","","","N","00","0","07","3","0","1","7","2","N","N","40 06:18.000","75 00:05.400","1900","","1858","","0","","N","","0 ","","","","","","","","","","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","40.1048","-75.0016","","CRASH_2001_Philadelphia"
"2001019531","06","67","67301","67301","2001","05","3","1015","10","1","8","1","7","4","","","N","01","0","00","3","0","0","1","1","N","N","40 03:12.636","75 10:40.711","1034","","0034","","0","","N","","0 ","","","","","","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0536","-75.178","","CRASH_2001_Philadelphia"
