"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"3","3","67","2001","2001258174","02","1639","S","3","2","0001","0031","35","","ROADWAY_2001_Philadelphia","46104"
"3","3","67","2001","2001256471","02","807","S","3","2","0001","0071","35","","ROADWAY_2001_Philadelphia","46104"
"1","4","67","2001","2001257495","99","3430","W","4","2","8004","0500","","RAMP RD","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2001257495","04","1043","W","3","1","0076","3395","55","SR 0076 SH","ROADWAY_2001_Philadelphia","67301"
"1","4","67","2001","2001261338","99","0","W","4","2","8007","0500","25","RAMP 95S TO COLU BL","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2001261338","03","50","S","3","1","0095","0205","35","SR 0095 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001259763","99","0","N","3","4","","","25","LARGE ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001238107","02","1680","E","4","2","2006","0060","25","SR 2006 SH","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001238107","99","0","E","6","4","","","25","SPRING GARDEN ST","ROADWAY_2001_Philadelphia","67301"
"","6","67","2001","2001238107","99","0","S","5","4","","","20","TWENTYTHIRD ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001238107","02","1680","W","3","2","2006","0061","25","SR 2006 SH","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001238175","02","1823","S","5","2","1003","0031","55","SR 1003 SH","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001238175","99","0","W","4","4","","","55","WINGOHOCKING ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001238175","02","1823","N","3","2","1003","0030","55","SR 1003 SH","ROADWAY_2001_Philadelphia","67301"
"3","5","67","2001","2001238202","02","2110","N","5","2","0611","0120","35","","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001238202","02","0","N","4","2","0013","0180","35","","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001238202","02","0","S","6","2","0013","0181","35","","ROADWAY_2001_Philadelphia","67301"
"3","6","67","2001","2001238202","02","2110","S","3","2","0611","0121","35","","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001238236","02","2359","N","5","2","2009","0010","25","SR 2009 SH","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001238236","99","0","W","4","4","","","25","YORK ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001238236","02","2340","S","3","2","2009","0011","25","SR 2009 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001238983","99","0","S","4","4","","","25","MICHENER ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001238983","99","0","W","3","4","","","25","VERNON RD","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001238986","99","0","E","4","4","","","","CHELTEN AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001238986","99","0","S","3","4","","","","WISTER ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001239008","02","1028","N","3","2","0001","0040","30","","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001239021","99","0","S","4","4","","","55","OGONTZ AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001239021","99","0","W","3","4","","","55","LINDLEY AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001239028","99","0","S","3","4","","","35","SIXTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001239031","02","1633","E","3","2","2016","0090","","","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001239077","99","0","S","4","4","","","","MALVERN AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001239077","02","2410","E","3","2","3018","0010","35","SR 3018 SH","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001239106","99","0","W","4","4","","","20","JACKSON ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001259762","99","0","N","3","4","","","","DELAWARE AV","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001261339","02","1600","E","4","2","1016","0060","25","","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001261339","02","1243","N","3","2","0013","0280","35","","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001400616","99","0","E","3","4","","","55","AUBURN ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2002001050","2 ","1139","S","4","2","0611","0101","25","BROAD ST","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2002001050","2 ","","E","5","4","","","","ONTARIO ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002001050","2 ","1140","N","3","2","0611","0100","25","BROAD ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002001075","2 ","2117","B","3","2","2001","0180","","RICHMOND ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2003010285","02","","N","4","4","","","25","EIGHTEENTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2003010285","02","1883","","3","2","2014","0030","25","LEHIGH AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001261268","02","802","S","3","2","0001","0071","35","","ROADWAY_2001_Philadelphia","46104"
"","3","67","2001","2001261337","99","0","W","3","4","","","30","NEWBERRY RD","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002050202","02","383","W","3","2","2010","0022","","CECIL B MOORE AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001234544","02","726","W","4","2","2014","0010","","SR 2014 SH","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001234544","99","0","S","3","4","","","55","THIRTYTHIRD ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2003010276","02","","S","4","4","","","25","TWELFTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2003010276","02","1342","N","3","2","3007","0020","25","ARCH ST","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2006069506","99","2245","N","3","2","0095","0324","","","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002050204","02","","E","3","4","","","15","WYOMING AV","ROADWAY_2001_Philadelphia","67301"
"3","6","67","2001","2001288265","03","831","E","6","2","3022","0010","","","ROADWAY_2001_Philadelphia","67301"
"3","5","67","2001","2001288265","03","652","E","4","2","3022","0010","","","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001288265","02","0","S","5","2","0611","0011","","","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288265","02","0","N","3","2","0611","0010","","","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288281","02","200","S","3","2","2007","0080","","","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001288301","99","","U","3","2","4003","","","","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001288390","99","0","N","4","4","","","","FIFTYFIRST ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288390","03","1632","W","3","2","0003","0051","","SR 0003 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001239106","02","2335","E","5","2","0291","0140","35","SR 0291 SH","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001239106","01","2333","W","3","2","0291","0141","35","SR 0291 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001239115","99","0","E","3","4","","","25","WESTMINSTER AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001239117","99","0","W","3","4","","","55","DELANCEY ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001239120","99","0","S","4","4","","","25","FORTYSIXTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001239120","04","1207","E","3","2","0013","0040","25","SR 0013 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001240024","99","0","W","3","4","","","","WASHINGTON AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001240029","99","0","N","3","4","","","25","FIFTH ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2002049771","2 ","0","W","4","2","0073","0041","30","COTTMAN AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002049771","2 ","0","E","3","2","0073","0040","30","COTTMAN AV","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2002049771","","","N","5","4","","","","LARGE ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012117","2 ","3162","S","3","2","3019","0061","35","PASSYUNK AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002012135","","","S","4","4","","","","FORTYEIGHTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012135","3 ","559","E","3","2","0003","0060","35","CHESTNUT ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012177","04","1556","S","3","2","1007","0131","35","STATE RD","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012187","","886","S","3","2","6001","0361","45","ROOSEVELT BL","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012653","2 ","1917","S","3","2","2007","0070","25","FRANKFORD AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002012653","","","E","4","4","","","25","ELKHART ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2002012706","3 ","1006","S","3","2","6001","0181","40","ROOSEVELT BL","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002012706","2 ","217","N","4","2","1001","0010","35","RISING SUN AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001236976","99","0","S","4","4","","","25","COLLINS ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001236976","99","0","W","3","4","","","35","HUNTINGDON ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001236977","99","0","E","3","4","","","55","DRUMORE RD","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2002008898","","","E","4","4","","","25","MAGEE AV","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2002008898","04","2801","E","5","2","0073","0111","","NEW STATE RD","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002008898","04","2798","W","3","2","0073","0110","","NEW STATE RD","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001288176","99","0","E","4","4","","","","FITZWATER ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001288176","03","1015","S","5","2","0291","0171","","SR 0291 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288176","03","1020","N","3","2","0291","0170","","SR 0291 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001288243","99","0","E","4","4","","","","WOODLAND AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001288243","99","0","S","3","4","","","","SIXTYFIFTH ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001288603","99","0","E","4","4","","","","FIFTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288603","02","1484","E","3","2","2016","0060","30","SR 2016 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001258175","02","2144","S","3","2","0001","0051","","","ROADWAY_2001_Philadelphia","46104"
"3","4","67","2001","2002010463","2 ","1918","S","4","2","1007","0051","","TACONY ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010463","2 ","1929","N","3","2","1007","0050","25","TACONY ST","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2002010463","","","E","5","4","","","","VAN KIRK ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010485","03","240","W","3","2","0003","0031","30","WALNUT ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2002010493","2 ","2278","S","4","2","0001","0071","35","CITY AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010493","2 ","2278","N","3","2","0001","0070","35","CITY AV","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2002010493","","","N","5","4","","","","MONUMENT RD","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002010503","","","S","4","4","","","","TWELFTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010503","3 ","1549","W","3","2","2676","0011","25","VINE ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010552","02","1735","S","3","2","4007","0020","","WAYNE AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002010552","","","E","4","4","","","","WYNEVA ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001287525","99","0","N","3","4","","","","OLD YORK RD","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001288401","99","0","W","3","4","","","","SIXTEENTH ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001288401","04","1770","S","5","2","3037","0023","","SR 3037 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288401","03","0","E","4","2","3027","0010","","SR 3027 SH","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001288453","99","0","N","5","4","","","","WASHINGTON LN","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001288453","02","0","E","3","2","4015","0040","","SR 4015 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288453","02","0","E","4","2","4007","0050","","SR 4007 SH","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2001288530","03","0","N","3","2","0001","0140","","SR 0001 SH","ROADWAY_2001_Philadelphia","67301"
"1","4","67","2001","2001288530","99","0","N","4","2","8043","0010","","SR 8043 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001288561","02","547","E","3","2","2014","0070","25","SR 2014 SH","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001288561","99","0","N","4","4","","","25","A ST","ROADWAY_2001_Philadelphia","67301"
"3","4","67","2001","2001400119","03","0","S","5","2","1009","0121","35","SR 1009 SH","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001400119","03","0","N","3","2","1009","0120","35","SR 1009 SH","ROADWAY_2001_Philadelphia","67301"
"","6","67","2001","2001400119","99","0","E","4","4","","","25","SOLLY AV","ROADWAY_2001_Philadelphia","67301"
"","5","67","2001","2001400119","99","0","N","6","4","","","","LARGE ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001400549","02","1543","S","3","2","0013","0280","30","","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001234143","99","0","E","3","4","","","45","EXPRESSWAY W W BR","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001287428","02","1237","E","4","2","2014","0030","","LEHIGH AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001287428","99","0","N","3","4","","","","SEDGLEY AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001400615","99","0","W","3","4","","","55","RANDOLPH DR","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2001401369","03","144","W","3","1","0076","3471","50","","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001401411","99","0","E","4","4","","","","TYSON AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2001401411","02","1120","S","3","2","1001","0060","","SR 1001 SH","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002001040","99","","N","3","4","","","25","FIFTH ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002001090","01","","S","4","4","","","25","FOURTH ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002001090","02","","E","3","4","","","25","CHRISTIAN ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002001131","01","","N","4","4","","","25","BOUVIER ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002001131","01","","E","3","4","","","25","CUMBERLAND ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002001214","00","","W","4","4","","","10","MONTGOMERY ST","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002001214","01","","N","3","","","","10","DOVER ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001259774","99","0","N","4","4","","","55","MEMORIAL DR","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001259774","99","0","E","3","4","","","55","CONCOURSE DR","ROADWAY_2001_Philadelphia","67301"
"1","3","67","2001","2002008923","03","","W","3","1","0076","3435","50","SCHUYLKILL EX","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010458","2 ","0","E","3","2","1005","0090","35","CASTOR AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2002010458","","","E","4","4","","","","ADAMS AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010472","2 ","882","E","3","2","0030","0060","25","GIRARD AV","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002010474","2 ","837","B","3","","G067","0010","25","57TH ST","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2002010495","99","","N","3","4","","","","FIFTYFOURTH ST","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010542","2 ","1595","","3","2","3017","0010","25","WHITBY AV","ROADWAY_2001_Philadelphia","67301"
"3","3","67","2001","2002010553","2 ","313","S","3","2","3007","0121","35","KELLY DR","ROADWAY_2001_Philadelphia","67301"
"","3","67","2001","2001259772","99","0","W","4","4","","","35","KENSINGTON AV","ROADWAY_2001_Philadelphia","67301"
"","4","67","2001","2001259772","99","0","S","3","4","","","35","O ST","ROADWAY_2001_Philadelphia","67301"
"3","5","67","2001","2001261922","02","0","E","7","2","3019","0010","55","SR 3019 SH","ROADWAY_2001_Philadelphia","23407"
"3","4","67","2001","2001261922","02","1940","S","5","2","3013","0011","40","SR 3013 SH","ROADWAY_2001_Philadelphia","23407"
"","7","67","2001","2001261922","99","0","E","4","4","","","55","BARTRAM AV","ROADWAY_2001_Philadelphia","23407"
"3","6","67","2001","2001261922","02","0","W","6","2","3019","0011","55","SR 3019 SH","ROADWAY_2001_Philadelphia","23407"
"3","3","67","2001","2001261922","02","1945","N","3","2","3013","0010","40","SR 3013 SH","ROADWAY_2001_Philadelphia","23407"
"","3","67","2001","2001287522","99","0","E","4","4","","","","KNORR ST","ROADWAY_2001_Philadelphia","67301"
