"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"05","1","1","5300 EAST CHERRY CREEK","","DENVER","CO","80246","AMA LOGISTICS","4075150011","2016","2016073656","080000","","","","","N","","","","","","N","","02566729","08","COMMVEH_2016_Philadelphia","67","67301"
"05","1","2","900 JULIAN LANE","","BEAR","DE","19701","EASTERN MAIL TRANSPORT INC","3028380500","2016","2016073660","080000","","","","","N","","","","","","N","","00189683","08","COMMVEH_2016_Philadelphia","67","67301"
"02","1","2","9355 BLUE GRASS ROAD","","PHILADELPHIA","PA","19114","PJP TRUCKING COMPANY LLC","2156719800","2016","2016073682","003300","","","","","N","","","","","","N","","02302886","03","COMMVEH_2016_Philadelphia","67","67301"
"05","9","3","270 KEEZLETOWN RD","","MOUNT SIDNEY","VA","24467","CROSBY TRUCKING SERVICE INC","5402349268","2016","2016002707","080000","","","","","N","","","","","","N","","00032052","08","COMMVEH_2016_Philadelphia","67","67301"
"99","2","2","123 N CHURCH ST","","CLIFTON HEIGHTS","PA","19018","SGT LOGISTICS","9999999999","2016","2016085944","080000","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","2158 45TH ST UNIT 530","","HIGHLAND","IN","46322","SHARP ONE INC","2245771890","2016","2016133273","080000","","","","","N","","","","","","N","","02473254","09","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1030 ANDREWS","","UNKNOWN","PA","99999","KRAPPS COACHES","9999999999","2016","2017001642","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","13650 HERITAGE PKWY","","FORT WORTH","TX","99999","DAIMLER TRUST","8565356602","2016","2016119646","","","","","","N","","","","","","N","","","99","COMMVEH_2016_Philadelphia","67","67301"
"02","1","1","6380 BRACKBILL BLVD","","MECHANICSBURG","PA","19050","CARISLE","7176918600","2016","2016119662","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","805 S 11TH ST","","PHILA","PA","19147","PETROS BREAD DIST","9999999999","2016","2016119663","012000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"02","1","2","300 CENTRE POINTE DRIVE","","VIRGINIA BEACH","VA","23462","BUDGET TRUCK RENTAL","8002834382","2016","2016116798","010050","","","","","N","","","","","","N","","01092543","09","COMMVEH_2016_Philadelphia","67","67301"
"02","8","2","4011-55 RICHMOND ST","","PHILADELPHIA","PA","19137","RELIANT TRANSPORTATION","2155331004","2016","2016117008","029000","","","","","N","","","","","","N","","02267611","11","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","UNKNOWN","","UNKNOWN","ZZ","99999","USPS","9999999999","2016","2016117148","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","3740 E THOMPSON","","PHILA","PA","19137","DURHAM SCHOOL SERICES","9999999999","2016","2016117163","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","1","1","55 LOWER HILLSIDE RD","PO BOX 137","STEVENS","PA","17578","JFM LOGISTICS LLC","7173362804","2016","2016099609","039000","","","","","N","","","","","","N","","02123339","03","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234","MARKET ST","PHILADELPHIA","PA","19107","SEPTA","2157644207","2016","2016099639","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"03","7","1","1620 SOUTH 49TH ST","","PHILADELPHIA","PA","19143","GOLD MEDAL INVIRONMENTAL OF PA","2157277000","2016","2016099645","999999","","","","","N","","","","","","N","","02576804","05","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","7633 LEONARD ST","","PHILA","PA","19152","G S EXPRESS INC","9999999999","2016","2016099655","080000","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"05","1","1","2 S BREVARD AVE","","ARCADIA","FL","34266","INC GARCIA TORRES YOHANDRO DBA","9999999999","2016","2016033488","080000","","","","","N","","","","","","N","","02545797","08","COMMVEH_2016_Philadelphia","67","67301"
"99","2","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2016","2016033491","999999","","","","","N","","","","","","U","","99999999","08","COMMVEH_2016_Philadelphia","67","67301"
"05","9","1","3104 CEDAR RIDGE DRIVE","","RICHARDSON","TX","75082","SNA TRUCKING INC","9722344981","2016","2016033498","080000","","","","","N","","","","","","N","A-00004212","00484110","08","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","QUEEN LN","","PHILA","PA","19144","CHIEFFO CONCRETE AND MASONRY L","9999999999","2016","2016033805","015000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016033805","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","SCHUYLKILL AVE","","PHILA","PA","19146","76 CARRIAGE COMPANY INC DBA PH","9999999999","2016","2016033811","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016033820","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","346 PINECREST RD","","SPRINGFIELD","PA","19064","JACK CLARK","9999999999","2016","2016033826","066000","","","","","N","","","","","","N","","","09","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","SPRUCEWOOD DR","","UNKNOWN","IL","99999","GARZ","9999999999","2016","2016033860","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","3","1557 S 58TH ST","","PHILA","PA","19143","BACK TO BASICS","9999999999","2016","2016033889","999999","","","","","N","","","","","","N","","","10","COMMVEH_2016_Philadelphia","67","67301"
"99","7","2","197 SWAMP CREEK RD","","GILBERTSVILLE","PA","19525","WASTE MANAGEMENT","9999999999","2016","2016033902","073280","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","3","6299 W PASSYONK AVE","","PHILA","PA","99999","JIMS RECYCLING INC","9999999999","2016","2016033920","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","9999999999","2016","2016007675","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","6","1","783 ANNAPOLIS ROAD","","GAMBRILLS","MD","21054","BENZ ENTERPRISES INC","9513159617","2016","2016007851","080000","","","","","N","","","","","","N","","00819791","08","COMMVEH_2016_Philadelphia","67","67301"
"04","1","2","2201 AMPERE DR","","LOUISVILLE","KY","40299","THE MARTIN-BROWER CO LLC","8005441206","2016","2016007870","080000","","","","","N","","","","","","N","","00148192","08","COMMVEH_2016_Philadelphia","67","67301"
"02","8","1","4300 WEAVER PARKWAY","","WARRENVILLE","IL","60555","DURHAM SCHOOL SERVICES LP","6308219059","2016","2016091489","029800","","","","","N","","","","","","N","","00350651","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILADELPHIA","PA","19107","SOUTHEASTERN PENNSYLVANIA TRAN","9999999999","2016","2016075637","","","","","","","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","3099 ORTHODOX ST","","PHILA","PA","19137","MAT BUS CO","9999999999","2016","2016108556","999999","","","","","N","","","","","","N","","","10","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","2675 MORGANTOWN","","READING","PA","19607","PENSKE TRUCK LEASING","9999999999","2016","2016108559","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","UNKNOWN","","UNKNOWN","ZZ","99999","KRAPPS COACHES","9999999999","2016","2016108567","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","100 S BROAD ST3RD FLOO","","PHILA","PA","19110","CITY OF PHILADELPHIA","9999999999","2016","2016108569","058350","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","1405 N ROBINSON ST","","PHILA","PA","19151","OUR FAMILY TOWING","9999999999","2016","2016108570","017950","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","160 CROWN POINT RD","","UNKNOWN","NJ","99999","MARONE CONTRACTORS","9999999999","2016","2016108571","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","1801 W SEDGLEY AVE","","PHILA","PA","19132","FOX WELDING","9999999999","2016","2016108580","025950","","","","","N","","","","","","","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016108610","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","100 ROSS ROADSUITE 203","","KNG OF PRUSSIA","PA","19406","FLEETWAY CAP CORP","9999999999","2016","2016108610","019500","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","100 S BROAD ST3RD FLOO","","PHILA","PA","19110","CITY OF PHILA","9999999999","2016","2016108617","018750","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","UNKNOWN","","WARRENVILLE","IL","99999","NAVISTAR INC","9999999999","2016","2016108619","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2016","2016108625","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","RENNARD ST","","PHILA","PA","19116","NORTHEAST ADULT","9999999999","2016","2016108653","999999","","","","","N","","","","","","N","","","10","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","7500 LINDBERGH","","PHILA","PA","19142","USPS","9999999999","2016","2016108661","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016108667","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","8","2","4300 WEAVER PARKWAY","","WARRENVILLE","IL","60555","DURHAM SCHOOL SERVICES","6308219059","2016","2016004365","029000","","","","","N","","","","","","N","","00350651","11","COMMVEH_2016_Philadelphia","67","67301"
"05","1","2","7955 W 59TH ST","","SUMMIT","IL","60510","JNS LOGISTICS INC","7087054673","2016","2016034943","080000","","","","","N","","","","","","N","","02134360","08","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","4600 AMERICAN PKWY 300","","MADISON","WI","99999","ATS MASTER TRUST INC","9999999999","2016","2016034983","080000","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","2159091810","2016","2016008599","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","734 SCHUYLKILL AVE","","PHILADELPHIA","PA","19132","SCHOOL DIST OF PHILA","9999999999","2016","2016008610","","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","1","2","1400 METROPLOITAN AVE","","THOROFARE","NJ","08103","J AMBORGI FOODS","8568450377","2016","2016025896","999999","","","","","N","","","","","","N","","00392622","03","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016025977","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","2158","","MORRISTOWN","TN","37816","MORRISTOWN DRIVERS SERV","9999999999","2016","2016025981","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","W FRANK PIPP DR","","IRON MT","MI","49801","M J ELECTRICAL LLC","9999999999","2016","2016025997","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016026003","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","8","1","6930 NORWITCH DRIVE","","PHILADELPHIA","PA","19153","ALL CITY TRANSPORTATION INC","2154926500","2016","2016026036","999999","","","","","N","","","","","","N","","","10","COMMVEH_2016_Philadelphia","67","67301"
"02","8","2","1234 MARKET ST","","PHILADELPHIA","PA","19107","SOUTHEASTERN PA TRANS AUTHORITY","2155807800","2016","2016026053","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","RT 10 GRN HLS BX 791UN","","READING","PA","19603","PENSKE TRUCK LEASING CO LP","9999999999","2016","2016026060","025999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","100 S BROAD ST3RD FL","","PHILA","PA","19110","CITY OF PHILA OFFICE OF FLEET","9999999999","2016","2016026080","057220","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","971 BRIARSDALE ROAD","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL","9999999999","2016","2016026092","026000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","2","S 11","","PHILA","PA","19147","U S MAXIM NAIL SUPPLIES INC","9999999999","2016","2016026126","014500","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","100 S BROAD ST3RD FLOO","","PHILA","PA","19110","CITY OF PHILA","9999999999","2016","2016026129","033000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"02","1","1","105 COMMERCE DR","","ASTON","PA","19014","ACCESS","2672573186","2016","2016079732","025950","","","","","N","","","","","","N","","01360517","03","COMMVEH_2016_Philadelphia","67","67301"
"05","9","2","340 KALEB CT","","MCDONOUGH","GA","30253","EV TRUCKING INC","6787588047","2016","2016093891","000030","","","","","N","","","","","","N","","01450186","08","COMMVEH_2016_Philadelphia","67","67301"
"04","4","1","1956 STOUT DR.","","IVYLAND","PA","18974","IVYLAND CONSTRUCTION CO. INC","2154435553","2016","2016093328","073280","","","","","N","","","","","","N","","00653581","04","COMMVEH_2016_Philadelphia","67","67301"
"05","1","2","650WESTTOWN RD.","","WEST CHESTER","PA","19381","A DUIE PYLE INC","8005235020","2016","2016093328","080000","","","","","N","","","","","","N","","00113594","08","COMMVEH_2016_Philadelphia","67","67301"
"05","1","2","5436 JEFFERSON DAVIS HI","","RICHMOND","VA","23234","URIEL TRUCKING INC","8047437700","2016","2016084206","080000","","","","","N","","","","","","N","","01856464","06","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","321 TECH DR","","BURNS HARBOR","IN","46304","CR ENGLAND INC","9999999999","2016","2016117682","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016035358","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","3","2","2277 NEW YORK AVE","","BENSALEM","PA","19020","GLASS ENTERPRISES INC","2156381007","2016","2016035388","033000","","","","","N","","","","","","N","","00297242","09","COMMVEH_2016_Philadelphia","67","67301"
"05","9","1","PO BOX 248","","LANGHORNE","PA","19047","MAWSON AND MAWSON","2157501100","2016","2016035697","080000","","","","","N","","","","","","N","","00113529","08","COMMVEH_2016_Philadelphia","67","67301"
"02","8","2","510 WALNUT ST. SUITE 4","","PHILADELPHIA","PA","19106","IMPERIAL PARKING CORP","2158298200","2016","2016009657","025000","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","3","4","24 MAPLE AVE","","LUMBERTON","NJ","08048","MARS TOWING","6095186039","2016","2016093093","018000","","","","","N","","","","","","N","","30895476","03","COMMVEH_2016_Philadelphia","67","67301"
"03","2","6","3938 S MAIN RD","","VINELAND","NJ","08360","RIGGINS INC","8568257600","2016","2016093093","080000","","","","","N","","","","","","N","","00017279","08","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","UNKNOWN","","UNKNOWN","ID","99999","UPS","9999999999","2016","2016109058","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","7","2","197 SWAMP CREEK RD","","GILBERTSVILLE","PA","19525","WASTE MANAGEMENT OF PA INC","6102209068","2016","2016109067","058400","","","","","N","","","","","","N","","","03","COMMVEH_2016_Philadelphia","67","67301"
"99","5","1","9004 W CHESTER PIKE","","UPPER DARBY","PA","19082","ROMA CONCRETE INC","9999999999","2016","2016082350","026000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","LANCASTER ST","","MILLERSPORT","OH","43046","ASPLUNDH","9999999999","2016","2016082360","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","HIGH RD","","KEMPTON","PA","19529","R S SNYDER ENTERPRISES INC","9999999999","2016","2016082372","080000","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016082393","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"04","4","2","714 DUNKSFERRY RD UNIT","","BENSALEM","PA","19020","ABC CONSTRUCTION CO","2674636625","2016","2016082437","026740","","","","","N","","","","","","N","","00848843","09","COMMVEH_2016_Philadelphia","67","67301"
"06","1","2","16645 W ADOBE DR","","LOCKPORT","IL","60441","JEEP TRANSPORT","8155522237","2016","2016082442","080000","","","","","N","","","","","","N","","01691395","09","COMMVEH_2016_Philadelphia","67","67301"
"03","9","1","2650 AUDUBON ROAD","","AUDUBON","PA","19403","J P MASCARO  SONS INC","6107109685","2016","2016082452","054000","","","","","N","","","","","","N","","00454743","04","COMMVEH_2016_Philadelphia","67","67301"
"","9","5","UNKNOWN","","UNKNOWN","ZZ","99999-9999","UNKNOWN","9999999999","2016","2016082452","","","","","","","","","","","","U","","99999999","99","COMMVEH_2016_Philadelphia","67","67301"
"99","1","2","1 CABOT BLVD","","LANGHORNE","PA","19047","NORDON","2159454157","2016","2016096788","026000","","","","","N","","","","","","N","","00861689","04","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","310 POWHATTAN AVE","","PHILA","PA","19029","EAGLE I ELECTRIC INC","9999999999","2016","2016097046","013000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","4857 CHESTNUT ST","","PHILADELPHIA","PA","19139","U-HAUL","9999999999","2016","2016097079","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","BOX 683","","WILDWOOD","NJ","08260","SG POAVLO LLC","9999999999","2016","2016097100","999999","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2016","2016097107","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","4508 CHESTNUT ST","","PHILA","PA","19139","TRINITY HEALTH LIFE PA","9999999999","2016","2016097108","999999","","","","","N","","","","","","N","","","10","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016097120","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016082199","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","9","1","322 COVENTRY COURT","","HOLLIDAYSBURG","PA","16648","FIGURE 8 COMM INC","9999999999","2016","2016082205","033000","","","","","N","","","","","","N","","","05","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2016","2016082211","999999","","","","","N","","","","","","N","","00005808","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2016","2016082218","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","1","1","STATE ST","","COELYPORT","IL","60441","NANAS EXPRESS CORP","9999999999","2016","2016082226","999999","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234 MARKET","","PHILADELPHIA","PA","19107","SEPTA","2155807800","2016","2016082232","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2016","2016026859","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","1","1","1210 S. PINE ISLAND RD","","PLANTATION","FL","33324","DHL EXPRESS","9546261762","2016","2016063471","026000","","","","","N","","","","","","N","","00315026","03","COMMVEH_2016_Philadelphia","67","67301"
"05","1","2","155 FOOD CENTER DR","","BRONX","NY","10474","BALDOR EXPRESS","7188609100","2016","2016063471","080000","","","","","N","","","","","","N","","00823890","08","COMMVEH_2016_Philadelphia","67","67301"
"99","8","1","1234  MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2016","2016063483","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"02","8","2","2905 ABBOTTSFORD AV","","PHILA","PA","19129","PHILLY TRANSPORATION","9999999999","2016","2016080091","999999","","","","","N","","","","","","N","","","11","COMMVEH_2016_Philadelphia","67","67301"
"03","1","2","1300 GEZON PARKWAY","","UNKNOWN","ZZ","99999","GFS TRANSPORT LLC","9999999999","2016","2016080129","","","","","","N","","","","","","N","","","08","COMMVEH_2016_Philadelphia","67","67301"
