"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2012094706","1","N","U","N","Y","1","Y","Y","Y","N","00600","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
"2012039824","1","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2012","67","CYCLE_2012_Philadelphia","67301"
"2012039831","2","U","U","Y","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
"2012040804","1","Y","N","Y","N","3","N","Y","Y","Y","01584","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041480","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041494","1","U","U","Y","Y","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041496","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041497","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041500","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041515","2","U","Y","Y","Y","0","N","N","Y","Y","01400","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
"2012041541","1","U","U","U","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2012","67","CYCLE_2012_Philadelphia","67301"
