"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2012023231","1","0","PA","7","PT4886L ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012025853","1","0","IN","7","P121417 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012026267","3","0","","9","","","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012026945","1","0","ME","7","2234361 ","2022","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012026946","1","0","NJ","7","TKR90E ","12 ","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012028029","1","0","NJ","7","TEU50W ","2015","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012028491","1","0","","9","","","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012028798","1","0","PA","6","PT3897H ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012031224","1","0","CA","7","4KZ4387 ","0512","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012032540","2","0","OK","7","1096JH ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012032924","2","0","PA","7","PT3858T ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012033493","1","0","PA","7","PT9889P ","2002","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012034292","1","0","NJ","7","TCJ58J ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012034292","2","0","PA","7","XDA0563 ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012034718","2","0","ZZ","7","PT-4188H ","9999","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012034762","4","0","ZZ","7","999999999999","9999","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012036677","1","0","IN","7","P66486 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012036940","2","0","ZZ","7","999999999999","9999","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012037582","2","0","PA","3","XBH2931 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012009828","3","0","OK","6","6170GU ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012010600","1","0","NJ","6","TDA70G ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012011825","2","0","NJ","6","TFL78M ","2008","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012011826","2","0","IN","6","P251143 ","2003","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012012149","1","0","ME","7","1841213 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012013309","1","0","PA","7","PT2501E ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012013442","1","0","","2","","","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012053374","2","0","PA","7","PT2617T ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012039243","2","0","ME","7","17TRL58715 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012069020","1","0","NJ","7","TDY55G ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012070299","3","0","PA","7","PT5913C ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012070784","1","0","VA","7","46063TR ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012070921","2","0","NJ","6","TBV92S ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012071433","1","0","TN","7","U357405 ","2004","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012084049","2","0","ON","7","D5420F ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012085326","2","0","","","NIAI ","","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012085326","4","0","","","NI4 ","","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012087208","2","0","NC","3","CA91819 ","2013","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012087937","2","0","ME","7","1449701 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012089216","2","0","ZG","7","8738962 ","2012","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012089761","2","0","SC","7","PV61360 ","9999","2012","67","TRAILVEH_2012_Philadelphia","67301"
"2012104267","2","0","NJ","7","HCYS5L ","9999","2012","67","TRAILVEH_2012_Philadelphia","67301"
