"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2012022519","1","1","1","0","03","00","01","1","29","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022519","2","2","1","0","03","00","01","1","34","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022823","2","1","1","0","03","10","01","1","46","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022823","1","2","1","0","03","10","01","1","24","F","0","1","N","PA","9","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022965","2","3","2","4","03","00","03","1","25","F","0","1","Y","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022965","2","2","1","4","03","00","01","1","21","F","0","1","Y","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012022965","1","1","1","4","03","01","01","1","24","F","0","1","N","PA","1","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023801","1","1","1","0","03","01","01","1","23","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023801","2","2","1","9","03","12","01","1","45","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012024286","1","1","1","0","03","10","01","1","31","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012024286","3","3","1","0","03","10","01","1","38","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012024286","2","2","1","8","03","10","01","1","22","F","0","1","N","NJ","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023230","1","1","1","4","03","00","01","1","46","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023651","1","1","1","8","10","12","01","1","60","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023651","2","2","1","0","03","12","01","1","61","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2013021024","1","1","1","3","03","12","01","1","53","F","0","1","","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2013021024","2","1","1","0","99","99","01","1","99","U","0","1","","ZZ","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2013021039","1","1","1","4","03","12","01","1","22","F","0","1","","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023721","2","4","2","0","04","00","06","1","1","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023721","2","3","2","0","03","00","04","1","18","F","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023721","2","2","2","0","03","00","03","1","19","M","0","1","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023721","2","1","1","3","03","00","01","1","20","F","0","3","Y","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023721","1","1","1","0","01","01","01","0","38","M","0","0","N","PA","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023229","1","3","2","4","03","00","06","1","20","M","0","1","Y","DE","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023229","1","2","2","0","03","04","03","1","18","F","0","1","N","DE","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012023229","1","1","1","0","03","04","01","1","18","F","0","1","N","DE","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
"2012025050","2","1","1","4","01","01","01","1","28","F","0","0","N","NJ","0","","","","2012","67","PERSON_2012_Philadelphia","67301"
