"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2014072763","1","0","PA","7","PT0491L ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014073964","3","0","TN","7","U103546 ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014074392","1","0","PA","7","PT9109X ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014075029","2","0","ME","6","B512056 ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014075218","2","0","PA","3","XZB898Y ","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014075303","1","0","PA","7","PT8608P ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014075303","2","0","TN","7","U149835 ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014076767","2","0","OK","7","4648DD ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014076767","4","0","TN","7","U369393 ","2013","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014038923","1","0","TN","7","NZ0771661 ","","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014039110","1","0","NC","7","CB80596 ","2015","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014040903","2","0","NJ","6","T28K3E ","2016","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014042273","1","0","ZZ","7","999999999999","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014042611","1","0","ZZ","7","999999999999","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014042689","1","0","ZZ","7","999999999999","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014043023","1","0","ME","7","14TLR93384 ","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014043062","2","0","ZZ","7","999999999999","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014043078","1","0","PA","1","4X49ZBY ","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014043458","2","0","ME","7","12TLR79272 ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014044264","2","0","PA","7","PT8259N ","2099","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014044710","2","0","ZZ","7","999999999999","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014016057","1","0","IN","7","T62572 ","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014016475","2","0","NJ","6","T156VB ","1988","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014016476","2","0","PA","7","PT7949P ","2099","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014017127","2","0","PA","7","PT2805X ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014019109","1","0","NY","7","2Z6OC5 ","9999","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014019958","1","0","VA","7","444777TL ","2014","2014","67","TRAILVEH_2014_Philadelphia","67301"
"2014019965","1","0","IN","6","P237934 ","14 ","2014","67","TRAILVEH_2014_Philadelphia","67301"
