"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018006490","4 ","2229","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006503","4 ","2274","N","3","1","0095","0300","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006506","3 ","1319","N","3","1","0095","0324","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006512","4 ","825","E","4","2","8061","0020","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006512","2 ","0","S","3","2","2005","0071","35","SIXTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006713","03","","E","3","4","","","45","WALT WHITMAN BR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006713","01","","E","4","4","","","25","WALT WHITMAN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018006730","01","","N","5","4","","","15","MT PLEASANT AV","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018006787","2 ","1349","N","7","2","4019","0060","25","WASHINGTON LN","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018007089","02","","N","3","4","","","25","MASCHER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007155","2 ","107","E","4","2","1018","0030","30","GRANT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007155","03","0","N","3","2","6001","0320","45","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007155","02","106","W","5","2","1018","0031","30","GRANT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007190","2 ","1805","E","3","1","0676","0014","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007265","2 ","523","W","3","1","0076","3441","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007762","3 ","2895","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007763","3 ","2201","E","3","1","0076","3420","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007850","3 ","1028","S","3","1","0095","0221","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018007856","02","","S","3","4","","","35","STATE RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008009","3 ","3101","W","3","1","0676","0003","55","VINE STREET EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008012","4 ","1358","S","3","1","0095","0201","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008329","01","","N","4","4","","","25","SYDENHAM ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008329","2 ","449","W","3","2","2010","0030","25","CECIL B MOORE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008383","4 ","2289","S","3","1","0095","0251","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008568","2 ","5769","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008585","4 ","11","N","3","1","0095","0224","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008652","4 ","1599","N","3","1","0095","0244","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008654","4 ","2549","S","3","1","0095","0295","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008656","2 ","5031","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008658","1 ","765","E","4","2","8016","0750","20","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008658","2 ","4933","E","3","1","0076","3444","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008672","4 ","85","N","3","1","0095","0300","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008701","3 ","423","W","3","1","0076","3471","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008893","02","","E","3","4","","","25","BENNETT RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008971","02","","E","3","4","","","25","HAMILTON ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018008971","02","","S","4","4","","","25","34TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009633","4 ","1867","S","3","1","0095","0301","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009644","4 ","2841","N","3","1","0095","0224","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009818","4 ","1988","S","3","1","0095","0251","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009825","4 ","983","N","3","1","0095","0250","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009826","2 ","2236","E","3","1","0076","3454","50","SCHUYLKILL EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018009828","04","1656","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010406","02","","E","3","4","","","25","DIAMOND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010420","03","1125","S","3","2","0611","0061","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010449","01","","S","4","4","","","20","15TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010449","2 ","673","W","3","2","2010","0030","25","CECIL B MOORE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010858","06","889","W","3","2","8061","0760","25","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010915","2 ","1274","W","3","2","1002","0035","35","CHELTENHAM AV","ROADWAY_2018_Philadelphia","46102"
"67","2018","2018010976","4 ","2282","N","3","1","0095","0294","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018010993","4 ","2946","S","3","1","0095","0225","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011066","4 ","1295","S","3","1","0095","0261","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011070","2 ","0","S","4","2","8019","0250","20","RAMP D RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011070","3 ","2535","S","3","1","0095","0265","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011160","1 ","1743","S","4","2","8047","0280","20","RAMP TP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011160","4 ","1160","S","3","1","0095","0115","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011165","4 ","1712","N","3","1","0095","0310","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011168","4 ","1607","S","3","1","0095","0275","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011180","4 ","2135","N","3","1","0095","0304","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011181","4 ","1748","S","3","1","0095","0225","55","DELAWARE EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018011184","1 ","0","E","4","2","8008","0010","20","RAMP A RD","ROADWAY_2018_Philadelphia","67301"
