"COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"67","2018","2018030661","01","","W","3","4","","","25","SPRUCE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030662","01","","N","3","4","","","25","DITMAN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030662","02","","W","4","4","","","25","TYSON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030663","2 ","1503","N","3","2","0013","0230","30","FRANKFORD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030664","01","","S","3","4","","","25","S 8TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030665","2 ","1312","W","4","2","1016","0070","25","LINDEN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030665","2 ","1807","N","3","2","1004","0220","30","TORRESDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030665","02","","N","5","4","","","25","TORRESDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030666","03","","N","4","4","","","25","7TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030666","02","456","E","3","2","3032","0010","25","RACE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030667","01","","E","3","4","","","25","PORTER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030668","2 ","7266","E","3","2","0291","0060","45","PENROSE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030669","01","","S","3","4","","","25","21ST ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030669","01","","W","4","4","","","25","SIGEL ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030670","3 ","2045","E","3","2","0291","0100","35","PENROSE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030671","2 ","521","S","3","2","3003","0021","40","TWENTYSIXTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030672","01","","S","4","4","","","25","SB TWENTYFOURTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030672","2 ","2589","W","3","2","2002","0010","25","SNYDER AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030673","02","","S","3","4","","","35","HARBISON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030674","04","1118","W","4","2","1008","0060","25","LEVICK ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030674","02","499","S","3","2","0232","0032","25","OXFORD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030675","02","","E","4","4","","","25","SUMMERDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030675","02","","N","3","4","","","25","MAGEE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030676","02","","W","4","4","","","25","PRATT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030676","3 ","0","S","3","2","0001","0221","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030677","2 ","0","E","4","2","1002","0060","40","ADAMS AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030677","2 ","0","W","5","2","1002","0061","35","ADAMS AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030677","2 ","0","S","3","2","1001","0030","30","RISING SUN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030678","02","","S","3","4","","","30","LANGDON ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030679","2 ","1165","E","4","2","1014","0020","35","RHAWN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030679","02","0","S","3","2","1001","0100","35","VERREE RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030681","02","","W","3","4","","","25","WASHINGTON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030681","01","","N","4","4","","","25","FRONT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030682","02","1244","W","3","2","2676","0015","25","VINE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030682","03","1010","W","5","2","8061","0760","25","RAMP FROM BEN FRANKLIN RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030682","05","","N","6","4","","","25","SEVENTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030682","02","0","N","4","2","8061","0750","25","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030683","02","","N","5","4","","","25","11TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030683","2 ","1264","E","3","2","2004","0010","25","MARKET ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030683","1 ","1245","W","4","2","2004","0011","25","MARKET ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030684","01","","E","3","4","","","25","WOOD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030684","01","","N","4","4","","","25","11TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030685","2 ","1125","S","4","2","0611","0011","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030685","3 ","1066","N","3","2","0611","0010","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030685","02","","E","5","4","","","25","RACE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030686","02","","E","3","4","","","15","FILBERT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030687","2 ","0","W","4","2","0073","0061","30","COTTMAN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030687","2 ","0","E","3","2","0073","0060","30","COTTMAN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030687","02","","N","5","4","","","30","SACKETT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030688","03","1211","N","3","2","6001","0200","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030688","02","1807","S","4","2","1003","0051","35","WHITAKER AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030689","03","2029","N","3","2","0001","0200","40","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030690","02","450","S","3","2","1005","0084","35","CASTOR AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030690","02","","W","4","4","","","25","ORTHODOX ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030691","02","","S","3","4","","","25","BELFIELD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030692","03","1234","S","4","2","3007","0041","30","BENJAMIN FRANKLIN PY","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030692","02","","S","5","4","","","25","TWENTYFIRST ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030692","03","1125","N","3","2","3007","0040","30","BENJAMIN FRANKLIN PY","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030693","01","","S","5","4","","","25","17TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030693","2 ","2788","W","4","2","2006","0065","25","SPRING GARDEN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030693","2 ","2795","E","3","2","2006","0064","30","SPRING GARDEN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030694","02","","N","4","4","","","25","22ND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030694","2 ","0","W","3","2","0003","0101","35","WALNUT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030695","01","","S","5","4","","","25","19TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030695","2 ","1901","E","3","2","2006","0064","30","SPRING GARDEN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030695","2 ","1895","W","4","2","2006","0065","25","SPRING GARDEN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030696","2 ","327","E","3","2","3010","0100","30","MARKET ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030696","3 ","332","W","4","2","3010","0101","30","MARKET ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030696","02","","N","5","4","","","25","22ND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030697","2 ","934","N","3","2","3005","0110","35","BELMONT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030697","02","","E","5","4","","","25","WYALUSING AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030697","2 ","996","S","4","2","3005","0111","35","BELMONT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030698","02","","E","4","4","","","30","WASHINGTON LN","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030698","02","1414","N","3","2","4002","0070","35","STENTON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030699","02","","N","3","4","","","25","CRESHEIM RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030700","02","","E","3","4","","","25","ANGORA TE","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030700","02","","N","4","4","","","25","THOMAS AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030701","2 ","352","E","3","2","0291","0036","40","ISLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030702","2 ","1023","E","3","2","0291","0020","40","BARTRAM AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030703","02","","E","4","4","","","25","GREENWAY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030703","02","","S","3","4","","","25","67TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030704","02","0","N","3","2","2003","0074","25","FIFTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030704","02","","N","4","4","","","25","5TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030704","05","","W","5","4","","","25","CALLOWHILL ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030705","02","","U","4","4","","","25","HERMITAGE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030705","2 ","1196","U","3","2","3009","0130","35","RIDGE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030706","05","","W","3","4","","","25","CALLOWHILL ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030707","01","","W","3","4","","","25","FAIRMOUNT AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030707","01","","N","4","4","","","30","13TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030708","2 ","337","N","3","2","1004","0200","30","TORRESDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030708","02","","W","4","4","","","25","MILLETT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030709","3 ","","E","3","4","","","30","WOODHAVEN RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030710","2 ","672","N","3","2","1015","0040","35","KNIGHTS RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030711","01","","S","3","4","","","25","MANCHESTER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030712","2 ","877","N","3","2","1004","0190","30","TORRESDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030713","02","","U","3","4","","","25","CHARTER RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030713","02","","U","4","4","","","25","NORCOM RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030714","02","","N","4","4","","","25","68TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030714","02","","W","3","4","","","25","GREENWAY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030715","02","","E","3","4","","","25","PRATT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030716","3 ","2603","S","3","2","6001","0271","45","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030717","02","","N","3","4","","","25","SUMMERDALE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030718","02","","S","4","4","","","25","LAWNDALE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030718","02","334","E","3","2","1008","0070","25","LEVICK ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030719","01","","E","3","4","","","25","TERMINAL AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030720","02","871","N","3","2","1005","0090","35","CASTOR AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030720","02","","E","4","4","","","25","FOULKROD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030722","02","","N","4","4","","","25","21ST ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030722","2 ","1157","W","3","2","3009","0040","25","RIDGE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030723","02","570","S","3","2","3011","0040","25","TWENTYNINTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030724","01","","N","4","4","","","25","19TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030724","01","","W","3","4","","","25","FONTAIN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030725","02","2084","W","3","2","2010","0022","25","CECIL B MOORE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030725","01","","S","4","4","","","25","GRATZ ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030726","2 ","2290","S","3","2","3009","0040","25","RIDGE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030727","3 ","2273","N","3","2","0611","0070","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030727","01","","W","5","4","","","25","YORK ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030727","3 ","2275","S","4","2","0611","0071","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030728","01","","N","4","4","","","25","AMBER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030728","02","2500","E","3","2","2016","0090","30","ALLEGHENY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030729","02","","N","4","4","","","25","I ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030729","02","","E","3","4","","","25","E TIOGA ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030730","02","","S","4","4","","","25","12TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030730","02","","E","3","4","","","25","LOUDON ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030731","02","","S","3","4","","","25","18TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030731","02","","E","4","4","","","25","WINDRIM AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030732","02","","S","3","4","","","25","11TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030732","02","","W","4","4","","","25","NEDRO AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030734","01","","N","3","4","","","25","JUNIPER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030734","01","","W","4","4","","","25","FITZWATER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030735","2 ","27","N","3","2","4001","0100","35","HENRY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030737","02","","N","4","4","","","40","MAIN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030737","02","610","N","3","2","3009","0100","35","RIDGE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030738","02","","N","3","4","","","25","LINCOLN DR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030739","2 ","664","N","3","2","0611","0130","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030739","2 ","667","S","4","2","0611","0131","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030739","03","","W","5","4","","","25","CAYUGA ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030740","1 ","","E","3","4","","","25","ABBOTTSFORD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030741","01","","W","4","4","","","25","MASTER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030741","01","","S","3","4","","","25","12TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030742","02","","W","4","4","","","25","BERKS ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030742","02","","N","3","4","","","25","5TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030743","02","","S","4","4","","","25","FRONT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030743","01","","E","3","4","","","25","OXFORD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030744","2 ","2747","W","3","2","2008","0041","30","GIRARD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030745","02","","N","3","4","","","25","LINCOLN DR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030747","02","","E","4","4","","","25","RITTENHOUSE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030747","02","","N","3","4","","","25","LINCOLN DR","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030748","01","0","W","3","2","8039","0250","25","RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030748","02","","S","5","4","","","25","FOX ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030748","02","","W","4","4","","","25","ABBOTTSFORD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030749","2 ","50","N","3","2","4001","0050","35","HENRY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030750","02","","S","3","4","","","25","G ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030750","02","","E","4","4","","","25","E LUZERNE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030751","2 ","1552","N","3","2","2007","0090","25","FRANKFORD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030752","01","","N","4","4","","","25","JASPER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030752","01","","W","3","4","","","25","BUCKIUS ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030753","2 ","1420","S","3","2","1003","0031","35","WHITAKER AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030754","02","1846","N","3","2","0001","0020","35","CITY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030754","02","","E","5","4","","","25","SIXTYFOURTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030754","02","1847","S","4","2","0001","0021","35","CITY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030755","02","","E","3","4","","","25","CONSHOHOCKEN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030756","2 ","1707","N","3","2","3015","0090","35","SIXTYTHIRD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030756","02","","E","5","4","","","25","VINE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030756","2 ","1703","S","4","2","3015","0091","35","SIXTYTHIRD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030757","2 ","1511","S","3","2","3009","0040","25","RIDGE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030757","02","","E","4","4","","","25","OXFORD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030758","2 ","0","W","6","2","2008","0031","30","GIRARD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030758","3 ","912","S","4","2","0611","0041","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030758","2 ","0","E","5","2","2008","0030","25","GIRARD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030758","3 ","915","N","3","2","0611","0040","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030759","2 ","2076","S","3","2","2001","0160","25","RICHMOND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030760","2 ","1372","E","3","2","2016","0090","30","ALLEGHENY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030761","2 ","2115","S","6","2","0611","0121","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030761","2 ","0","E","3","2","0013","0180","30","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030761","2 ","2116","N","5","2","0611","0120","30","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030761","2 ","0","W","4","2","0013","0181","30","ROOSEVELT BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030762","01","0","S","3","2","2001","0150","30","RICHMOND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030762","02","","E","4","4","","","25","CUMBERLAND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030764","02","","S","3","4","","","25","TOWNSEND RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030765","2 ","2099","N","3","2","0291","0170","25","BROAD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030766","02","","N","4","4","","","25","LARGE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030766","02","","W","3","4","","","25","BLEIGH AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030768","02","","S","3","4","","","25","62ND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030769","3 ","1696","E","3","2","0003","0090","35","CHESTNUT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030769","02","","S","4","4","","","20","30TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030770","02","","E","3","4","","","25","LARCHWOOD AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030771","3 ","509","E","3","2","0003","0050","35","CHESTNUT ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030771","02","","N","4","4","","","25","53RD ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030772","2 ","1916","E","3","2","4019","0030","25","WASHINGTON LN","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030773","01","","W","3","4","","","25","LOCUST AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030773","01","","S","4","4","","","25","SPRAGUE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030774","02","","S","4","4","","","25","POINT BREEZE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030774","2 ","1600","E","3","2","2002","0010","25","SNYDER AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030775","01","","S","3","4","","","25","24TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030775","02","","E","4","4","","","25","DIAMOND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030776","02","638","S","3","2","8020","0010","20","RAMP A RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030777","2 ","1101","N","3","2","1009","0090","25","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030777","2 ","1103","S","4","2","1009","0091","25","BUSTLETON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030777","02","","E","5","4","","","25","TYSON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030778","02","","S","4","4","","","25","ALGON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030778","02","","W","3","4","","","25","NAPFLE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030779","2 ","87","S","3","2","4001","0071","35","HENRY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030780","02","","N","3","4","","","25","OLD LINE RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030781","02","","E","6","4","","","25","BEN FRANKLIN RAMP RD","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030781","02","","E","5","4","","","25","RACE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030781","02","918","E","4","2","3032","0010","25","RACE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030781","03","2004","S","3","2","2005","0061","35","SIXTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030782","2 ","1682","E","3","2","4003","0100","30","ALLENS LN","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030783","01","","N","4","4","","","25","28TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030783","02","","E","3","4","","","25","GRAYS FERRY AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030784","01","","S","4","4","","","25","6TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030784","02","","E","3","4","","","25","BERKS ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030785","01","","E","4","4","","","25","APSLEY ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030785","2 ","1025","N","3","2","4007","0020","25","WAYNE AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030786","02","","W","4","4","","","25","ANNSBURY ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030786","02","","W","5","4","","","25","COURTLAND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030786","01","","W","6","4","","","","UNKNOWN AL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030786","02","","S","3","4","","","35","6TH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030787","02","","N","3","4","","","25","FIFTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030788","02","0","W","4","2","3002","0021","40","EIGHTYFOURTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030788","02","","W","5","4","","","25","LINDBERGH BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030788","02","0","E","3","2","3002","0020","40","EIGHTYFOURTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030789","02","1441","N","3","2","4004","0030","35","CHEW AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030789","02","","W","4","4","","","35","CHELTEN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030790","01","","S","3","4","","","25","TULIP ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030792","3 ","172","N","3","2","0001","0100","50","ROOSEVELT BOULEVARD EX","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030793","2 ","854","E","3","2","4002","0044","40","STENTON AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030794","01","","N","4","4","","","25","EIGHTEENTH ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030794","02","","W","3","4","","","25","CALLOWHILL ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030794","02","","N","5","4","","","25","FRANKLIN TOWN BL","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030795","2 ","896","N","3","2","4005","0060","25","GERMANTOWN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030795","02","","W","4","4","","","25","WALNUT LN","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030796","02","","E","3","4","","","25","WOODLAND AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030797","02","","E","4","4","","","25","CHESTNUT HILL AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030797","02","","N","3","4","","","25","SEMINOLE ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030798","02","","E","4","4","","","25","CHELTEN AV","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030798","01","","N","3","4","","","25","KNOX ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030799","01","","N","4","4","","","25","PENN ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030799","01","","W","3","4","","","25","HARRISON ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030800","2 ","1415","N","3","2","2001","0210","25","RICHMOND ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030801","01","","E","4","4","","","25","MORRIS ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030801","01","","N","3","4","","","25","DOVER ST","ROADWAY_2018_Philadelphia","67301"
"67","2018","2018030802","2 ","191","E","3","2","3017","0070","35","PARKSIDE AV","ROADWAY_2018_Philadelphia","67301"
