"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","9","3","UNK","","UNK","ZZ","999999999","UNK","9999999999","2002","2002050369","999999","","","","","N","","","","","","U","","00099999","99","COMMVEH_2002_Philadelphia","67","67301"
"99","8","1","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA","2155806229","2002","2002050372","000000","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2002_Philadelphia","67","67301"
"99","9","2","P0 B0X 986","","WORCESTER","MA","01613","TRUCKLEASE CORP","8563580916","2002","2002050372","000000","","","","","N","","","","","000000000","N","","00000000","09","COMMVEH_2002_Philadelphia","67","67301"
"99","8","1","1200 conroy pl","","easton","PA","18040","vectour of penn inc","9999999999","2002","2002050380","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2002_Philadelphia","67","67301"
"99","1","3","3650 n. dirkson prkwy","","springfield","IL","62707","roadway express inc","9999999999","2002","2002050380","000000","","","","","N","","","","","000000000","","","00000000","06","COMMVEH_2002_Philadelphia","67","67301"
"99","9","2","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2002","2002050387","999999","","","","","N","","","","","999999999","U","","99999999","99","COMMVEH_2002_Philadelphia","67","67301"
"99","8","1","200 W Wy0MING AVE","","PHILADELPHIA","PA","19140","SEpTA","2155803100","2002","2002050388","036000","","","","","N","","","","","000000000","N","","00000000","11","COMMVEH_2002_Philadelphia","67","67301"
"99","8","1","1234 market st","","philadelphia","PA","19107","septa","2157857800","2002","2002050396","000000","","","","","N","","","","","000000000","","","00000000","11","COMMVEH_2002_Philadelphia","67","67301"
"05","9","1","UNKNOWN","UNKNOWN","UNKNOWN","PA","999999999","UJUNKNOWN","9999999999","2002","2002050435","999999","","","","","","","","","","999999999","U","A-00999999","99999999","99","COMMVEH_2002_Philadelphia","67","67301"
"05","8","2","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","999999999","UNKNOWN","9999999999","2002","2002050435","999999","","","","","","","","","","999999999","U","A-00999999","99999999","11","COMMVEH_2002_Philadelphia","67","67301"
