"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2005168539","2","0","NJ","7","????????????","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005168544","3","0","","","MU ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005169547","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005169573","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170044","2","0","","","????????????","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170045","3","0","??","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170421","1","0","","6","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170428","2","0","","","????????????","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170643","2","0","VA","7","12624TR ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170938","2","0","PA","1","MT35576 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170945","2","0","","6","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005170946","2","0","NJ","6","T9R634 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171152","2","0","","9","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171173","1","0","PA","","DXA7848 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171258","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171626","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171626","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171648","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005171958","2","0","PA","","DZB-2186 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005172133","1","0","PA","","YKT0532 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005172133","2","0","PA","","08-J-1920 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005172137","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2005172772","1","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002063290","1","0","","","1 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002063290","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002063291","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002063291","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003021692","1","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003021692","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003021726","2","0","PA","8","63B92WW ","1996","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022291","1","0","","","W ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022292","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022300","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022300","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022301","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022301","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022417","1","0","PA","","NI7BM2 ","9999","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022417","2","0","PA","","J3W8 ","1603","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022424","1","0","PA","","DVV55BS ","012 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022432","1","0","PA","","YGKI2Y7 ","0241","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022432","2","0","","","0Y1J22 ","042 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022443","3","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003022535","1","0","PA","1","EPL72II ","202 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050353","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050353","2","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050357","1","0","WI","","T39Y69 ","81 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050375","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050380","3","0","ZZ","6","unknown ","9999","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050435","1","0","","7","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050451","2","0","","","LBWI275 ","627 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050465","1","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050467","1","0","PA","","0XHWS9I8 ","02 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050467","2","0","PA","","8A5OJ0E ","02 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050639","1","0","PA","","C12K888O ","1003","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050665","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050665","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050670","1","0","","6","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050677","1","0","","7","0IBW ","0 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050686","2","0","","7","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050711","1","0","PA","","EKPH323 ","462 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050711","3","0","PA","","EKF7Y73 ","962 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050858","1","0","PA","","DNL537Y ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050862","4","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050866","1","0","","","E0GPX7Y ","502 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050866","2","0","PA","","Y0YOOH7 ","002 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050880","1","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050880","2","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050957","1","0","","8","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050957","2","0","","8","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050957","3","0","","8","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050957","4","0","","8","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050958","1","0","PA","","RJNJ34T ","090 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050958","2","0","PA","","EMI57I8 ","1994","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050958","3","0","PA","","DSM3ML ","999 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002050992","3","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002051032","1","0","PA","1","E6J3852 ","995 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002051196","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009731","1","0","","7","IBI8Z ","202 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009732","3","0","PA","","Y0KS05 ","1999","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009792","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009793","2","0","","","0IA ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009796","2","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009913","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009916","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009919","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009929","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009930","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009930","2","0","","","I ","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009930","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009931","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009931","2","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009931","3","0","","","8 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009939","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009939","2","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009940","1","0","","","I ","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009941","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009943","2","0","","","FI5BFL ","02 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009946","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009946","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009970","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009975","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009983","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009983","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009983","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009983","4","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009986","1","0","","","8SUI ","602 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009987","1","0","","","T ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003009987","2","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010000","1","0","ZZ","9","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010142","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010142","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010146","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010146","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010146","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010150","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010150","2","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010228","1","0","","","B ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010228","2","0","OR","6","09I99 ","1998","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010229","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010232","1","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010245","1","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010245","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010253","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010253","2","0","","7","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010255","2","0","PA","7","XK88Y ","06 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010258","1","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010258","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010262","1","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010262","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010268","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010268","2","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010268","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010268","4","0","","","I ","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010268","5","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010271","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010271","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010274","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010274","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010282","1","0","","","BAEI45I ","406 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010287","3","0","","1","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010295","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010295","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010313","1","0","","","I ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010313","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010314","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010314","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010317","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010317","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010320","1","0","","4","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010320","2","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010320","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010322","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010322","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010329","3","0","","2","HEWMQ9K41E ","9402","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010330","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010336","1","0","","9","EMG70E ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010340","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010341","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010342","1","0","","","T ","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010342","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010343","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010347","1","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010347","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010348","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003010350","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064517","1","0","","","W ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064517","2","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064519","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064519","2","0","","","","1 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064519","3","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064800","1","0","PA","","LXFHA2Y ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2002064800","2","0","PA","","T4IL4H ","1202","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035137","2","0","MA","1","JCI02V ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035166","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035167","1","0","PA","","X78424S ","22 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035196","1","0","PA","1","WI25X ","1703","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035206","1","0","PA","1","44744MG ","185 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035211","1","0","","","NI2 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035211","2","0","","","NI0 ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035228","1","0","NY","","I490B ","02 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035228","2","0","","","E4M158 ","103 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035229","1","0","","","80YQ ","162 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035229","2","0","","","EK4Q7 ","09 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035233","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035235","2","0","PA","","D5333G ","1103","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035240","1","0","","","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035263","1","0","PA","","DWCMBM ","203 ","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035263","2","0","PA","","4LN7014 ","2003","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035331","1","0","","6","W ","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035381","2","0","","8","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
"2003035386","1","0","","9","","","2002","67","TRAILVEH_2002_Philadelphia","67301"
