"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2002064182","1","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","U","U","","","","","2002","67","CYCLE_2002_Philadelphia","67301"
"2002065393","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066084","1","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","U","U","","","","","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066511","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066512","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066588","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066687","2","","","","","","","","","","","","","","","","","","","","U","U","Y","U","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066912","2","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","Y","U","","","","","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066913","1","U","U","U","U","9","U","U","U","U","00000","U","U","9","U","U","U","U","U","U","","","","","2002","67","CYCLE_2002_Philadelphia","67301"
"2002066913","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2002","67","CYCLE_2002_Philadelphia","67301"
