"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2006065004","1","0","OK","6","3973DY ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065017","2","0","","","M ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065384","2","0","TN","7","087S ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065439","1","0","PA","7","A84SG75 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065536","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065556","1","0","","","6 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065557","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065557","3","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065558","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065569","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065584","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065629","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065629","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065746","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065746","3","0","","9","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065746","4","0","","8","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065814","3","0","","6","XR0U749 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006065999","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006066002","2","0","","6","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006066185","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079409","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079639","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079762","1","0","PA","7","AF14092 ","9999","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079791","4","0","VA","7","125469TR ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079849","1","0","","6","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079850","2","0","","6","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079854","2","0","PA","7","GCX823G ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079887","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079887","2","0","PA","7","T138QB ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079887","3","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079889","1","0","VA","6","75YI6ML ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079911","3","0","","7","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079923","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006079931","2","0","PA","6","05628F ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080018","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080038","5","0","NJ","7","MV64H ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080057","1","0","","7","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080061","3","0","","7","O983S0S ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080063","1","0","","1","T ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080063","2","0","","1","O ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080065","1","0","","7","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080100","1","0","","6","PTY344 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080109","2","0","RI","6","B42II ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080111","1","0","","9","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080275","1","0","","1","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080296","1","0","PA","7","8T3293F ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080543","2","0","AL","6","T2534SB ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080594","2","0","","7","RNBR ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080843","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080928","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006080950","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081031","2","0","","3","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081428","1","0","","1","FJZ4QW8 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081444","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081475","1","0","","1","Y ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081475","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081476","2","0","","7","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081527","1","0","PA","1","EXH4SZI ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081527","2","0","PA","1","YKVO0Y ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081610","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081613","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081613","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081622","1","0","","7","STZ95H ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081649","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081722","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081723","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081723","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081750","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081930","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081934","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081934","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081934","3","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081935","2","0","NG","","N6 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006081936","1","0","","7","YR26I ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082094","1","0","","9","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082526","2","0","","8","GKT6BY ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082533","2","0","M ","","Q ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082560","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082602","2","0","","8","MI62697Y ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082625","2","0","","8","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006082995","1","0","","1","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083049","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083066","1","0","","","T ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083066","2","0","","1","Y ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083105","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083105","2","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083178","1","0","","","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006083773","1","0","NJ","7","T49H6F ","9999","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006084262","1","0","","7","TS8Z5T ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006084374","2","0","","7","9803J0 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054604","2","0","","6","8Z08U ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054631","2","0","","6","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054660","2","0","","7","T7JM776 ","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054660","3","0","FL","7","60IS5M ","06 ","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054676","1","0","","6","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
"2006054689","2","0","","9","","","2006","67","TRAILVEH_2006_Philadelphia","67301"
