"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"1","4","67","2006","2006035474","01","0","N","4","2","8007","0500","","RAMP RD","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006035474","03","50","S","3","1","0095","0205","55","DELAWARE EX","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035700","01","","E","4","4","","","25","BAINBRIDGE ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035700","01","","S","3","4","","","25","FIFTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035713","02","","S","4","4","","","25","ROWLAND ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035713","02","819","E","3","2","1014","0070","35","RHAWN ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035789","02","","N","4","4","","","25","RODNEY ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035789","02","1812","E","3","2","4019","0040","25","WASHINGTON LN","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035795","99","","E","4","4","","","","HADFIELD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035795","99","","S","3","4","","","","FIFTYSIXTH ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035948","02","0","N","4","4","","","25","THIRD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035948","05","0","W","3","4","","","25","CALLOWAILL ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036128","99","0","S","3","4","","","","LAWRENCE ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036575","99","","N","4","4","","","","THIRD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036575","02","","W","3","4","","","25","WYOMING AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036579","99","","S","4","4","","","","HORROCKS ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036579","99","","W","3","4","","","","CHELTENHAM AV","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006036597","01","356","E","3","2","8049","0750","","RAMP 95NB TO PA 291 RD","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006036620","99","","N","4","4","","","","POPLAR DR","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036620","99","","E","5","4","","","","THIRTYTHIRD ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036620","02","554","E","3","2","2008","0002","","GIRARD AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036682","03","2483","N","3","2","0001","0380","45","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036805","02","","E","4","4","","","25","CHELTENHAM AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036805","02","2111","N","3","2","1001","0030","30","RISING SUN AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036847","02","1432","S","3","2","0013","0260","35","FRANKFORD AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036861","99","","W","4","4","","","","SHUNK ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036861","01","489","W","3","2","0291","0141","20","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006035659","99","","N","6","4","","","","FRONTAGE RD","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035659","04","3400","E","5","2","3019","0060","35","PASSYUNK AV","ROADWAY_2006_Philadelphia","67301"
"","6","67","2006","2006035659","04","0","S","4","4","","","35","SIXTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006035659","04","3131","W","3","2","3019","0061","35","PASSYUNK AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006035757","02","1280","W","4","2","0073","0011","30","COTTMAN AV","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006035757","02","3201","N","5","2","1001","0060","35","RISING SUN AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035757","02","1280","E","3","2","0073","0010","30","COTTMAN AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036133","99","","E","4","4","","","25","HARVEY ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036133","02","367","S","3","2","4005","0060","25","GERMANTOWN AV","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006036266","03","1485","S","5","2","2009","0091","30","HARBISON AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036266","03","1497","N","4","2","2009","0090","30","HARBISON AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036266","02","0","","3","2","1009","0040","25","BRIDGE ST","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006036562","02","0","W","5","2","1020","0030","35","PHILMONT AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036562","02","1119","S","4","2","0532","0091","35","BUSTLETON AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036562","02","1116","N","3","2","0532","0090","35","BUSTLETON AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036585","99","","N","4","4","","","","SEVENTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036585","99","0","W","3","4","","","","WOODLAND AV","ROADWAY_2006_Philadelphia","67301"
"1","4","67","2006","2006036630","01","580","N","4","2","8025","0750","","RAMP RD","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006036630","03","1280","N","3","1","0095","0320","55","DELAWARE EX","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036647","02","0","N","3","4","","","30","BELFIELD AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036675","99","","S","4","4","","","","ASHTON RD","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036675","02","0","W","3","2","1011","0030","","WILLITS RD","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036877","02","1048","E","3","2","0030","0030","30","LANCASTER AV","ROADWAY_2006_Philadelphia","67301"
"3","6","67","2006","2006036904","03","1726","S","5","2","3029","0011","25","FIFTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006036904","03","1600","S","6","2","3029","0011","25","FIFTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036904","03","0","W","4","2","2676","0011","25","VINE ST","ROADWAY_2006_Philadelphia","67301"
"","7","67","2006","2006036904","03","","S","7","4","","","25","FIFTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036904","03","0","E","3","2","2676","0010","25","VINE ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035494","99","0","N","4","4","","","30","SEVENTYSECOND AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035494","99","0","S","3","4","","","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035642","01","0","N","4","4","","","25","MARSHALL ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035642","01","0","W","3","4","","","35","FAIRMOUNT ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035704","99","","N","4","4","","","","FORTYFIFTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035704","03","2243","E","3","2","0003","0060","35","CHESTNUT ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035711","02","","E","4","4","","","25","TOMLINSON RD","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035711","03","1371","S","3","2","6001","0341","45","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006035782","03","13","W","3","1","0076","3431","50","SCHUYLKILL EX","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036160","99","","N","4","4","","","","THOMPSON ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036160","02","1301","E","3","2","2014","0100","25","LEHIGH AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036559","99","","W","4","4","","","","THOMAS AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036559","01","2416","S","3","2","3015","0041","25","COBBS CREEK PY","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006036660","02","","N","5","4","","","25","THIRTIETH ST","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036660","02","1050","W","4","2","3010","0081","25","MARKET ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036660","02","1051","E","3","2","3010","0080","25","MARKET ST","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006036821","03","1750","E","3","1","0076","3414","50","SCHUYLKILL EX","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036858","03","1003","S","3","2","6001","0271","40","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036890","02","0","W","4","4","","","25","LOMBARD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036890","01","0","S","3","4","","","25","TWENTYFOURTH ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103453","99","","W","4","4","","","","JACKSON ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103453","99","","S","3","4","","","","EIGHTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006103692","03","1909","N","3","2","6001","0210","40","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104267","02","0","N","4","4","","","45","FIFTH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104267","02","0","E","3","4","","","45","GLENWOOD AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104277","99","","E","4","4","","","","MT VERNON ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104277","02","804","S","3","2","3009","0020","35","RIDGE AV","ROADWAY_2006_Philadelphia","67301"
"1","4","67","2006","2006104279","01","0","W","4","2","8061","0020","","EIGHTH ST","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006104279","03","1010","S","3","2","0676","0014","","","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006104293","02","0","E","5","2","4002","0110","35","GODFREY AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006104293","02","0","S","4","2","0611","0181","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104293","02","0","N","3","2","0611","0180","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103458","01","","S","4","4","","","","FOURTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006103458","02","1367","N","3","2","2001","0020","30","OREGON AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006103533","02","0","S","4","2","4001","0131","35","HENRY AV","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006103533","02","","E","5","4","","","35","PORT ROYAL AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006103533","02","0","N","3","2","4001","0130","35","HENRY AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103657","01","","W","3","4","","","25","PARRISH ST","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006104330","99","","E","5","4","","","","RISING SUN AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104330","02","584","N","6","2","0611","0100","30","","ROADWAY_2006_Philadelphia","67301"
"","6","67","2006","2006104330","02","","E","4","4","","","25","WESTMORELAND ST","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006104330","02","584","S","3","2","0611","0101","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104825","02","0","N","3","4","","","25","CHELTEN AV","ROADWAY_2006_Philadelphia","67301"
"","6","67","2006","2006104959","02","","N","6","4","","","30","OLD YORK RD","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006104959","02","0","S","4","2","0611","0171","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006104959","02","","W","5","4","","","30","GRANGE AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104959","02","0","N","3","2","0611","0170","30","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035597","99","0","W","4","4","","","","GREENWICH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035597","99","0","S","3","4","","","","MOYAMENSING AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035663","99","","E","4","4","","","","CLEARFIELD ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035663","02","2320","S","3","2","2001","0160","","RICHMOND ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035689","02","","W","4","4","","","","JEFFERSON ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035689","02","","N","3","4","","","","SEVENTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035791","02","462","N","3","2","4001","0050","35","HENRY AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036492","01","0","N","4","4","","","25","TWENTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036492","01","0","W","3","4","","","25","BERKS ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036564","01","0","N","4","4","","","25","BRADFORD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036564","02","0","E","3","4","","","25","WOODWARD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036574","02","0","W","3","4","","","25","SEDGLEY AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036591","02","1636","N","3","2","1003","0020","25","WHITAKER AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036603","99","","E","4","4","","","","JAMES ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036603","03","341","N","3","2","2009","0090","","HARBISON AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036643","99","0","N","4","4","","","","FIFTYTHIRD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036643","99","0","E","3","4","","","","SPRUCE ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036654","02","0","N","3","4","","","35","THOURON AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036876","02","","N","4","4","","","25","KENSINGTON AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036876","02","0","E","3","2","1004","0080","25","TORRESDALE AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036885","01","0","E","3","4","","","35","WALNUT LN","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2007038681","02","","W","3","1","0076","","55","","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006035665","04","","N","3","1","0095","0290","55","","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035699","99","0","N","3","4","","","","TWENTYEIGHTH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035792","02","","N","4","4","","","25","GLENWOOD AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035792","02","2214","E","3","2","2014","0030","25","LEHIGH AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035888","01","0","N","3","4","","","","THOMPSON ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035962","99","0","E","4","4","","","","DIAMOND ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035962","99","0","S","3","4","","","","SECOND ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036143","02","758","N","3","2","3009","0070","35","RIDGE AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036484","99","0","W","4","4","","","","HUNTINGDON ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036484","99","0","N","3","4","","","","SIXTEENTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036560","02","1515","N","3","2","1011","0100","30","WELSH RD","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036624","02","","E","4","4","","","","GLENWOOD AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036624","02","2190","S","3","2","0611","0081","","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036645","99","0","N","4","4","","","","FIFTYEIGHTH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036645","99","0","W","3","4","","","","PINE ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036646","01","0","S","4","4","","","25","THIRTYSECOND ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036646","01","0","W","3","4","","","25","PEARL ST","ROADWAY_2006_Philadelphia","67301"
"1","4","67","2006","2006036664","01","730","W","4","2","8018","0500","","RAMP RD","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006036664","03","923","W","3","1","0076","3461","50","SCHUYLKILL EX","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006036908","02","2366","E","5","2","3033","0010","","HUNTING PARK AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036908","02","1247","S","4","2","0013","0131","","HUNTING PARK AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036908","01","1333","N","3","2","0013","0130","","HUNTING PARK AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103685","99","","E","4","4","","","","WOODWARD ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006103685","03","0","N","3","2","6001","0300","45","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103857","02","","N","4","4","","","25","MASCHER ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103857","02","","E","3","4","","","25","TABOR RD","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103881","02","0","N","4","4","","","25","THIRTYFIFTH ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103881","02","0","W","3","4","","","25","BARING AV","ROADWAY_2006_Philadelphia","67301"
"","6","67","2006","2006104247","02","","U","6","4","","","","BATTERSBY ST","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006104247","03","709","N","4","2","2009","0120","","HARBISON AV","ROADWAY_2006_Philadelphia","67301"
"3","5","67","2006","2006104247","02","702","S","5","2","2009","0121","","HARBISON AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104247","02","563","N","3","2","0013","0200","25","ROBBINS ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104259","01","","E","4","4","","","","FERN ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103521","02","","E","4","4","","","","FIFTYSECOND ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103521","02","","N","3","4","","","25","GEORGE HILL DR","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103689","99","0","W","4","4","","","","OXFORD AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103689","99","0","N","3","4","","","","SIXTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006103693","01","0","E","4","4","","","25","CAMBRIA ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006103693","01","0","N","3","4","","","25","THIRD ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006104257","03","1637","S","3","2","0291","0181","25","BROAD ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104280","01","0","W","4","4","","","25","SANSOM ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104280","01","0","S","3","4","","","25","JUNIPER ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104290","02","0","N","4","4","","","","THIRD ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104290","02","0","W","3","4","","","","SPARKS ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104292","02","0","N","4","4","","","","OLD YORK RD","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104292","02","0","W","3","4","","","","WYOMING AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104311","02","","N","4","4","","","25","SIXTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104311","02","","E","3","4","","","25","WOODLAND AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006104313","02","","U","4","4","","","","MADISON ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006104313","02","","S","3","4","","","","EIGHTYFIRST ST","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006104929","03","1837","W","3","2","0063","0023","55","WOODHAVEN RD","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035649","02","288","S","4","2","1001","0010","35","RISING SUN AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006035649","03","1008","S","3","2","6001","0181","40","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035686","99","0","S","3","4","","","","GERMANTOWN AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035762","02","201","E","3","2","1018","0060","45","GRANT AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036613","02","243","W","3","2","2014","0040","","LEHIGH AV","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036895","99","0","W","3","4","","","","ALBURGER AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035559","02","1090","N","3","2","2007","0060","25","FRANKFORD AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006035770","03","706","N","4","2","6001","0240","40","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006035770","02","0","N","3","2","0013","0190","25","ROBBINS ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035799","02","0","S","3","4","","","","OLD YORK RD","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006035953","02","","E","4","4","","","","TABOR RD","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006035953","02","","N","3","4","","","","MASCHER ST","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036132","01","0","W","3","4","","","25","HAINES ST","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036141","02","","S","4","4","","","25","WINCHESTER AV","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036141","02","742","E","3","2","1016","0020","35","HOLME AV","ROADWAY_2006_Philadelphia","67301"
"","4","67","2006","2006036569","99","","S","4","4","","","","FIFTH ST","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036569","03","0","N","3","2","6001","0170","40","ROOSEVELT BL","ROADWAY_2006_Philadelphia","67301"
"","3","67","2006","2006036584","02","0","S","3","4","","","","FIFTYSECOND ST","ROADWAY_2006_Philadelphia","67301"
"1","3","67","2006","2006036626","02","1242","E","3","2","0076","3400","","","ROADWAY_2006_Philadelphia","67301"
"","5","67","2006","2006036666","99","","E","5","4","","","","MAGEE AV","ROADWAY_2006_Philadelphia","67301"
"","6","67","2006","2006036666","99","","N","4","4","","","","EVERETT AV","ROADWAY_2006_Philadelphia","67301"
"3","4","67","2006","2006036666","02","1698","S","6","2","1005","0131","25","","ROADWAY_2006_Philadelphia","67301"
"3","3","67","2006","2006036666","02","1697","N","3","2","1005","0130","25","CASTOR AV","ROADWAY_2006_Philadelphia","67301"
