"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2006054540","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054541","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054548","1","U","U","U","N","0","N","N","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054573","1","","","","","","","","","","","","","","","","","","","","N","U","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054587","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054608","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054616","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054616","3","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054644","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054645","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054664","1","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054706","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054708","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054713","2","U","U","U","U","1","U","U","U","U","99999","","","","","","","","N","N","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054734","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054753","1","N","Y","Y","Y","1","U","N","Y","Y","99999","","","","","","","","N","N","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054949","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006054995","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055065","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055082","2","","","","","","","","","","","","","","","","","","","","U","U","U","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055146","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055154","1","N","N","U","Y","0","N","N","Y","Y","00750","","","","","","","","N","N","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055163","2","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055166","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055167","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055198","1","","","","","","","","","","","","","","","","","","","","U","N","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055204","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055218","2","","","","","","","","","","","","","","","","","","N","","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055259","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055280","1","","","","","0","","","","","","","","","","","","","","","N","N","N","N","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055280","2","","","","","","","","","","","","","","","","","","","","N","N","N","N","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055300","1","Y","Y","Y","Y","3","Y","Y","Y","Y","99999","","","","","","","","N","N","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055322","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","U","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055342","2","","","","","","","","","","","","","","","","","","","","U","U","N","U","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055356","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
"2006055370","1","U","U","U","Y","9","U","U","U","U","99999","","","","","","","","N","U","","","","","2006","67","CYCLE_2006_Philadelphia","67301"
