"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY_YEAR","COUNTY","MUNICIPALITY"
"99","1","1","1100 MARKET ST","","WILMINGTON","DE","19890","BUDGET TRUCKS","9999999999","2006","2006094605","","","","","","N","","","","","","","","99999999","05","COMMVEH_2006_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST","","PHILADELPHIA","PA","99999","SEPTA","9999999999","2006","2006094610","999999","","","","","N","","","","","","N","","99999999","11","COMMVEH_2006_Philadelphia","67","67301"
"99","1","1","9400 NW 10TH ST","","OKLAHOMA","OK","73127","SWIFT TRANSPORTATION","9999999999","2006","2006094900","","","","","","N","","","","","","","","99999999","06","COMMVEH_2006_Philadelphia","67","67301"
"99","9","2","3469 BETHLEHEM PIKE","","SOUDERTON","PA","18964","JAMES A TURNER INC","9999999999","2006","2006094914","080000","","","","","N","","","","","","U","","99999999","08","COMMVEH_2006_Philadelphia","67","67301"
"99","1","1","8004 A GREENTREE COMMON","","MALITON","NJ","08053","SJA CONSTRUCTION","9999999999","2006","2006095214","073280","","","","","N","","","","","","","","99999999","05","COMMVEH_2006_Philadelphia","67","67301"
"99","8","1","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2006","2006027929","","","","","","N","","","","","","","","00000000","11","COMMVEH_2006_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2006","2006027969","","","","","","N","","","","","","","","00000000","11","COMMVEH_2006_Philadelphia","67","67301"
"04","1","1","3100 N 2ND ST","","PHILADELPHIA","PA","19133","DELCO METAL INC","9999999999","2006","2006054545","073280","","","","","N","","","","","999999999","N","","00336582","04","COMMVEH_2006_Philadelphia","67","67301"
"99","8","2","1234 MARKET ST 14TH FL","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2006","2006054603","000000","","","","","N","","","","","","N","","00000000","11","COMMVEH_2006_Philadelphia","67","67301"
"99","1","2","300 LIONVILLE STATION R","","CHESTER SPRINGS","PA","19425","PENN TANK LINE INC","9999999999","2006","2006054604","","","","","","N","","","","","999999999","","","99999999","06","COMMVEH_2006_Philadelphia","67","67301"
"99","8","1","3740 E THOMPSON ST","","PHILADELPHIA","PA","19137","ATLANTIC EXPRESS","9999999999","2006","2006054607","999999","","","","","N","","","","","","N","","99999999","11","COMMVEH_2006_Philadelphia","67","67301"
"99","1","2","26 EAST MILL ST PO 130","","PEDRICKTON","NJ","99999","LACYS EXPRESS INC","9999999999","2006","2006054631","","","","","","N","","","","","999999999","","","99999999","06","COMMVEH_2006_Philadelphia","67","67301"
"99","1","2","838 MILLBRIDGE APTS","","CLEMENTON","NJ","08021","BLACK HORSE TRUCKING INC","9999999999","2006","2006054640","","","","","","N","","","","","999999999","","","99999999","05","COMMVEH_2006_Philadelphia","67","67301"
"99","1","2","58 COHILL RD","","VALLEY STREAM","NY","99999","NURETTIN OFLU","9999999999","2006","2006054646","","","","","","N","","","","","999999999","","","99999999","05","COMMVEH_2006_Philadelphia","67","67301"
"99","9","2","512 SWEDESBORO AVE","","MICKLETON","NJ","08056","TRI STEEL CORP","9999999999","2006","2006054660","999999","","","","","N","","","","","","U","","99999999","08","COMMVEH_2006_Philadelphia","67","67301"
